team,win_perc,field_goals,field_goal_attemps,field_goal_perc,three_pointers,three_point_attempts,three_point_perc,free_throw_perc,two_pointers,two_point_attempts,two_point_perc,wins,losses,free_throws,free_throw_attemps,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,steals,blocks,blocks_against,personal_fouls,total_points,score_differential,season
Houston Rockets,0.793,3174,6906,0.46,1256,3470,0.3619596541786744,0.781,1918,3436,0.5582072176949942,65,17,1609,2061,739,2825,3564,1767,1135,699,392,363,1597,9213,695,2017-18
Indiana Pacers,0.585,3345,7083,0.472,741,2010,0.3686567164179104,0.779,2604,5073,0.5133057362507392,48,34,1225,1573,788,2684,3472,1819,1088,721,340,428,1544,8656,113,2017-18
LA Clippers,0.512,3302,7004,0.471,777,2196,0.35382513661202186,0.743,2525,4808,0.5251663893510815,42,40,1556,2095,832,2766,3598,1832,1204,628,372,462,1638,8937,3,2017-18
Los Angeles Lakers,0.427,3338,7248,0.461,822,2384,0.3447986577181208,0.714,2516,4864,0.5172697368421053,35,47,1364,1910,876,2927,3803,1949,1295,633,388,447,1736,8862,-127,2017-18
Memphis Grizzlies,0.268,3013,6788,0.444,758,2152,0.35223048327137546,0.786,2255,4636,0.4864106988783434,22,60,1361,1732,779,2544,3323,1767,1227,613,396,421,1900,8145,-509,2017-18
Miami Heat,0.537,3184,6997,0.455,903,2506,0.36033519553072624,0.755,2281,4491,0.5079046982854598,44,38,1209,1601,763,2801,3564,1862,1178,620,437,378,1648,8480,39,2017-18
Milwaukee Bucks,0.537,3257,6807,0.478,718,2024,0.3547430830039526,0.783,2539,4783,0.5308383859502405,44,38,1499,1915,688,2579,3267,1905,1135,722,443,366,1752,8731,-25,2017-18
Minnesota Timberwolves,0.573,3365,7063,0.476,658,1845,0.35663956639566397,0.804,2707,5218,0.5187811422000767,47,35,1592,1980,848,2593,3441,1861,1021,689,345,382,1495,8980,183,2017-18
New Orleans Pelicans,0.585,3500,7241,0.483,837,2312,0.3620242214532872,0.772,2663,4929,0.5402718604179346,48,34,1324,1716,712,2923,3635,2195,1223,657,485,344,1570,9161,107,2017-18
New York Knicks,0.354,3334,7193,0.464,673,1914,0.351619644723093,0.787,2661,5279,0.5040727410494412,29,53,1225,1557,859,2752,3611,1912,1208,552,421,389,1682,8566,-292,2017-18
Oklahoma City Thunder,0.585,3271,7221,0.453,881,2491,0.35367322360497794,0.716,2390,4730,0.5052854122621564,48,34,1421,1985,1024,2671,3695,1750,1147,743,412,377,1653,8844,280,2017-18
Orlando Magic,0.305,3182,7042,0.452,844,2405,0.35093555093555096,0.757,2338,4637,0.5042053051541945,25,57,1271,1678,722,2692,3414,1921,1192,622,400,402,1579,8479,-395,2017-18
Philadelphia 76ers,0.634,3349,7098,0.472,901,2445,0.3685071574642127,0.752,2448,4653,0.5261121856866537,52,30,1405,1868,893,2996,3889,2221,1353,682,420,417,1811,9004,369,2017-18
Phoenix Suns,0.256,3153,7141,0.442,763,2286,0.3337707786526684,0.741,2390,4855,0.4922760041194645,21,61,1453,1962,842,2776,3618,1743,1289,569,370,488,1807,8522,-768,2017-18
Portland Trail Blazers,0.598,3222,7132,0.452,845,2308,0.36611785095320626,0.8,2377,4824,0.49274461028192373,49,33,1372,1715,835,2893,3728,1599,1109,573,423,418,1599,8661,213,2017-18
