team,season,points_scored,points_allowed,wins,losses,ties,off_total_yards_gained,off_n_pass_touchdowns,off_n_run_touchdowns,off_n_touchdowns,off_pass_or_run_plays,off_n_sacks_allowed,off_n_qb_hits_allowed,off_n_fumbles_lost,off_n_tackled_for_loss,off_n_interceptions_thrown,def_total_yards_allowed,def_n_pass_touchdowns,def_n_run_touchdowns,def_n_touchdowns,def_pass_or_run_plays,def_n_sacks,def_n_qb_hits,def_n_fumbles_forced,def_n_tackles_for_loss,def_n_interceptions,off_pass_completion_perc,off_pass_plays,off_pass_total_yards_gained,off_run_plays,off_run_total_yards_gained,def_pass_completion_perc,def_pass_plays,def_pass_total_yards_gained,def_run_plays,def_run_total_yards_gained,score_differential,division
NO,2015,408,476,7,9,0,6485,32,16,48,1079,32,72,8,39,11,6640,45,12,57,986,31,58,12,33,8,0.660458452722063,698,4978,381,1507,0.6480836236933798,574,4548,412,2092,-68,NFC South
NO,2016,469,454,7,9,0,6832,38,17,55,1089,27,65,8,24,15,6024,27,19,46,991,30,88,12,37,7,0.6801152737752162,694,5073,395,1759,0.6206896551724138,609,4384,382,1640,15,NFC South
NO,2017,448,326,11,5,0,6287,23,23,46,977,20,54,8,31,8,5395,22,11,33,990,42,75,4,43,18,0.6992753623188406,552,4193,425,2094,0.5557432432432432,592,3599,398,1796,122,NFC South
NO,2018,504,353,13,3,0,6100,33,26,59,989,20,50,9,28,6,5602,30,12,42,968,49,96,12,38,12,0.7068645640074211,539,4044,450,2056,0.617363344051447,622,4312,346,1290,151,NFC South
TB,2009,244,400,3,13,0,4611,18,5,23,954,32,82,5,37,27,5868,28,16,44,1018,28,75,8,40,17,0.5054151624548736,554,2977,400,1634,0.5984095427435387,503,3318,515,2550,-156,NFC South
TB,2010,341,318,10,6,0,5373,26,9,35,945,30,65,10,37,5,5351,23,12,35,977,26,51,7,43,18,0.5862068965517241,522,3361,423,2012,0.5661764705882353,544,3233,433,2118,23,NFC South
TB,2011,287,494,4,12,0,5117,17,9,26,952,32,54,13,37,22,6329,30,26,56,983,23,43,10,65,13,0.5934959349593496,615,3650,337,1467,0.6007984031936128,501,3814,482,2515,-207,NFC South
TB,2012,389,394,7,9,0,5846,27,13,40,998,25,57,3,40,15,6100,30,13,43,1018,28,57,6,79,17,0.5271186440677966,590,3989,408,1857,0.6298003072196621,651,4753,367,1347,-5,NFC South
TB,2013,288,389,4,12,0,4465,22,6,28,966,47,70,6,45,12,5591,30,10,40,988,35,77,7,58,19,0.5243243243243243,555,2820,411,1645,0.612565445026178,573,3803,415,1788,-101,NFC South
TB,2014,277,410,2,14,0,4672,21,7,28,929,52,112,12,41,20,5917,28,15,43,1049,35,65,10,61,14,0.5225694444444444,576,3297,353,1375,0.6504201680672269,595,4092,454,1825,-133,NFC South
TB,2015,342,417,6,10,0,6031,22,12,34,998,27,104,11,53,14,5468,31,12,43,1023,38,80,12,48,11,0.5621621621621622,555,3854,443,2177,0.6551126516464472,577,3840,446,1628,-75,NFC South
TB,2016,354,369,9,7,0,5570,29,8,37,1054,36,96,9,53,17,5904,24,15,39,1002,38,75,10,37,15,0.5753646677471637,617,3931,437,1639,0.5948717948717949,585,4018,417,1886,-15,NFC South
TB,2017,335,382,5,11,0,5825,26,8,34,1028,39,92,13,34,13,6065,22,17,39,993,22,70,9,38,10,0.5887850467289719,642,4370,386,1455,0.654320987654321,567,4169,426,1896,-47,NFC South
TB,2018,396,464,5,11,0,6659,36,11,47,1046,41,108,9,38,24,6162,34,19,53,974,38,89,6,48,9,0.6126126126126126,666,5127,380,1532,0.680140597539543,569,4153,405,2009,-68,NFC South
HOU,2009,388,333,9,7,0,6149,29,13,42,1019,26,90,11,38,16,5212,19,17,36,957,28,77,10,47,10,0.6498371335504886,614,4652,405,1497,0.6035087719298246,570,3487,387,1725,55,AFC South
HOU,2010,390,427,6,10,0,6195,24,20,44,1015,32,70,6,39,11,6052,33,16,49,992,30,86,5,41,13,0.6073211314475874,601,4145,414,2050,0.6167247386759582,574,4280,418,1772,-37,AFC South
HOU,2011,381,278,10,6,0,5970,20,18,38,1027,33,60,11,53,9,4582,18,8,26,952,44,101,9,34,16,0.5841784989858012,493,3506,534,2464,0.4819277108433735,581,3039,371,1543,103,AFC South
HOU,2012,416,331,12,4,0,6043,22,20,42,1073,28,71,4,54,13,5185,29,5,34,1000,44,102,14,46,12,0.6092943201376936,581,3830,492,2213,0.49838187702265374,618,3609,382,1576,85,AFC South
HOU,2013,276,428,2,14,0,5559,19,7,26,1083,42,105,8,36,22,5100,29,11,40,952,32,98,4,46,6,0.554559043348281,669,3813,414,1746,0.5583657587548638,514,3125,438,1975,-152,AFC South
HOU,2014,372,307,9,7,0,5526,22,12,34,1042,28,77,11,55,13,5586,28,6,34,1060,37,109,12,50,20,0.5784313725490197,510,3340,532,2186,0.557427258805513,653,3897,407,1689,65,AFC South
HOU,2015,339,313,9,7,0,5591,29,7,36,1105,36,76,8,41,11,4977,24,10,34,969,44,93,8,45,14,0.549079754601227,652,3835,453,1756,0.5478991596638656,595,3367,374,1610,26,AFC South
HOU,2016,279,328,9,7,0,5052,15,9,24,1052,32,89,5,34,14,4832,20,13,33,942,31,82,6,43,11,0.5707236842105263,608,3176,444,1876,0.575812274368231,554,3228,388,1604,-49,AFC South
HOU,2017,338,436,4,12,0,5125,28,8,36,1022,54,106,11,40,16,5570,30,14,44,948,32,66,4,52,9,0.5190972222222222,576,3278,446,1847,0.6068052930056711,529,3801,419,1769,-98,AFC South
HOU,2018,402,316,11,5,0,5812,26,12,38,1025,62,124,6,51,9,5497,28,8,36,1013,43,86,11,43,14,0.6127886323268206,563,3781,462,2031,0.608214849921011,633,4169,380,1328,86,AFC South
IND,2009,416,307,14,2,0,5826,34,16,50,962,13,40,4,42,16,5438,19,10,29,1073,34,73,9,24,15,0.659016393442623,610,4515,352,1311,0.6078431372549019,612,3405,461,2033,109,AFC South
IND,2010,435,388,10,6,0,6107,33,13,46,1072,16,43,7,40,16,5477,22,14,36,994,30,59,9,35,9,0.6484149855907781,694,4609,378,1498,0.6357142857142857,560,3435,434,2042,47,AFC South
IND,2011,243,430,2,14,0,4596,14,8,22,938,35,69,15,36,14,5958,25,19,44,1039,29,55,9,46,7,0.5364120781527532,563,2995,375,1601,0.6763005780346821,519,3636,520,2322,-187,AFC South
IND,2012,357,387,11,5,0,5816,23,11,34,1080,41,107,7,58,16,5997,23,14,37,986,32,68,4,35,12,0.5151975683890577,658,4128,422,1688,0.5908289241622575,567,3796,419,2201,-30,AFC South
IND,2013,391,336,11,5,0,5491,23,15,38,1009,32,100,3,27,10,5719,21,14,35,1014,41,77,9,31,15,0.568659127625202,619,3741,390,1750,0.5654450261780105,573,3711,441,2008,55,AFC South
IND,2014,458,369,11,5,0,6514,42,9,51,1086,29,91,14,39,16,5491,27,14,41,995,41,80,13,38,12,0.5942028985507246,690,4894,396,1620,0.5515463917525774,582,3673,413,1818,89,AFC South
IND,2015,333,408,8,8,0,5165,26,6,32,1029,37,108,9,37,18,6082,29,14,43,1057,35,81,7,52,17,0.5444785276073619,652,3706,377,1459,0.5728155339805825,618,4114,439,1968,-75,AFC South
IND,2016,411,392,8,8,0,5853,32,13,45,1015,44,119,7,22,14,6137,27,12,39,1011,33,75,9,28,8,0.592948717948718,624,4206,391,1647,0.6150081566068516,613,4200,398,1937,19,AFC South
IND,2017,263,404,4,12,0,4564,13,11,24,980,55,108,6,52,9,5902,23,15,38,1012,26,73,5,46,13,0.5297397769516728,538,2892,442,1672,0.5914972273567468,541,3952,471,1950,-141,AFC South
IND,2018,433,344,10,6,0,6210,39,13,52,1046,18,75,9,32,15,5439,21,12,33,981,38,74,10,56,14,0.6545454545454545,660,4465,386,1745,0.6689895470383276,574,3805,407,1634,89,AFC South
CIN,2009,305,291,10,6,0,4961,21,9,30,996,29,52,10,50,13,4829,18,12,30,965,34,68,6,30,19,0.5708582834331337,501,2892,495,2069,0.5520833333333334,576,3249,389,1580,14,AFC North
CIN,2010,322,395,4,12,0,5319,26,8,34,1032,28,69,11,42,19,5333,21,15,36,938,27,70,8,28,14,0.5951219512195122,615,3784,417,1535,0.6070763500931099,537,3471,401,1862,-73,AFC North
CIN,2011,344,323,9,7,0,5126,21,10,31,1004,25,54,5,45,14,5071,21,14,35,994,45,96,12,43,10,0.5509838998211091,559,3340,445,1786,0.55,580,3385,414,1686,21,AFC North
CIN,2012,391,320,10,6,0,5340,28,11,39,994,46,58,10,24,16,5129,16,13,29,1021,51,83,13,38,14,0.5756013745704467,582,3578,412,1762,0.569078947368421,608,3393,413,1736,71,AFC North
CIN,2013,430,305,11,5,0,5909,33,14,47,1073,29,43,10,39,18,4894,22,6,28,1030,43,95,10,22,19,0.5947712418300654,612,4139,461,1770,0.556923076923077,650,3344,380,1550,125,AFC North
CIN,2014,365,344,10,5,1,5585,20,19,39,1004,23,45,8,39,16,5756,18,16,34,1055,20,68,5,36,19,0.6152380952380953,525,3423,479,2162,0.5877616747181964,621,3888,434,1868,21,AFC North
CIN,2015,419,279,12,4,0,5748,31,18,49,984,31,51,8,36,6,5470,18,8,26,1019,42,92,6,35,21,0.6278195488721805,532,3924,452,1824,0.611764705882353,680,3989,339,1481,140,AFC North
CIN,2016,325,315,6,9,1,5719,18,17,35,1038,41,64,7,37,8,5627,22,12,34,1022,33,94,4,39,14,0.6056572379367721,601,3942,437,1777,0.6022544283413849,621,3800,401,1827,10,AFC North
CIN,2017,290,349,7,9,0,4506,25,6,31,904,40,56,9,48,12,5431,20,13,33,1081,41,91,3,51,10,0.5577981651376147,545,3122,359,1384,0.5609348914858097,599,3379,482,2052,-59,AFC North
CIN,2018,368,455,6,10,0,4980,27,13,40,929,37,68,3,42,12,6634,32,17,49,1066,34,80,6,32,12,0.5746527777777778,576,3292,353,1688,0.6325203252032521,615,4418,451,2216,-87,AFC North
CAR,2009,315,308,8,8,0,5315,16,18,34,1007,33,57,9,59,20,5063,14,15,29,962,31,64,13,41,22,0.5333333333333333,495,2801,512,2514,0.5842911877394636,522,3056,440,2007,7,NFC South
CAR,2010,196,408,2,14,0,4137,9,7,16,953,50,88,14,47,20,5389,19,20,39,1041,31,68,11,56,17,0.4857685009487666,527,2289,426,1848,0.5895117540687161,553,3393,488,1996,-212,NFC South
CAR,2011,406,429,6,10,0,6245,21,26,47,988,36,62,6,32,16,6056,28,18,46,957,31,44,8,39,14,0.5641952983725136,553,3830,435,2415,0.6115384615384616,520,3949,437,2107,-23,NFC South
CAR,2012,357,363,7,9,0,5768,19,21,40,976,36,59,5,55,12,5344,22,11,33,1000,39,54,10,30,10,0.5419847328244275,524,3683,452,2085,0.6256323777403036,593,3570,407,1774,-6,NFC South
CAR,2013,366,241,12,4,0,5076,24,14,38,979,43,58,3,41,12,4833,17,4,21,958,60,95,9,37,18,0.5703125,512,3041,467,2035,0.6067961165048543,618,3431,340,1402,125,NFC South
CAR,2014,339,374,7,8,1,5546,23,10,33,1053,43,64,9,47,12,5447,25,14,39,977,40,70,12,39,13,0.5580204778156996,586,3513,467,2033,0.6138279932546374,593,3645,384,1802,-35,NFC South
CAR,2015,500,308,15,1,0,5888,35,19,54,1040,33,60,9,44,10,5174,21,11,32,1045,44,99,14,43,22,0.5649717514124294,531,3589,509,2299,0.5710102489019033,683,3754,362,1420,192,NFC South
CAR,2016,369,402,6,10,0,5508,21,16,37,1044,36,92,8,38,17,5780,27,11,38,1025,48,78,10,45,17,0.5134228187919463,596,3689,448,1819,0.6187594553706506,661,4295,364,1485,-33,NFC South
CAR,2017,363,327,11,5,0,5204,22,15,37,1007,35,68,5,44,16,5092,25,7,32,936,50,90,11,46,8,0.5476635514018692,535,3077,472,2127,0.5919055649241147,593,3667,343,1425,36,NFC South
CAR,2018,376,382,7,9,0,5992,28,17,45,994,32,74,4,24,16,5669,32,13,45,935,35,68,9,54,13,0.6395939086294417,591,3840,403,2152,0.6281138790035588,562,3849,373,1820,-6,NFC South
BAL,2009,391,261,9,7,0,5627,21,22,43,1001,37,67,7,45,12,4818,17,8,25,973,32,57,9,51,18,0.5933456561922366,541,3413,460,2214,0.5583941605839416,548,3316,425,1502,130,AFC North
BAL,2010,357,270,12,4,0,5184,25,11,36,999,40,71,8,37,10,5103,22,5,27,996,27,59,6,31,19,0.5811320754716981,530,3335,469,1849,0.5638126009693053,619,3593,377,1510,87,AFC North
BAL,2011,378,266,12,4,0,5442,21,15,36,1013,33,67,10,33,9,4630,11,10,21,990,48,82,11,30,15,0.5479930191972077,573,3423,440,2019,0.49740932642487046,579,3140,411,1490,112,AFC North
BAL,2012,398,344,10,6,0,5657,22,17,39,1025,38,63,4,30,10,5626,15,15,30,1074,37,79,10,42,13,0.561344537815126,595,3741,430,1916,0.5704584040747029,589,3656,485,1970,54,AFC North
BAL,2013,320,352,8,8,0,4931,19,7,26,1082,48,82,6,42,23,5392,25,7,32,1015,41,77,5,33,13,0.545045045045045,666,3594,416,1337,0.5322033898305085,590,3681,425,1711,-32,AFC North
BAL,2014,409,302,10,6,0,5855,27,16,43,999,19,54,6,41,11,5389,22,8,30,1028,51,104,11,34,11,0.607773851590106,566,3819,433,2036,0.5913312693498453,646,3974,382,1415,107,AFC North
BAL,2015,328,401,5,11,0,5767,21,8,29,1076,24,72,5,41,21,5408,30,10,40,990,37,81,6,41,6,0.6143884892086331,695,4286,381,1481,0.5993150684931506,584,3734,406,1674,-73,AFC North
BAL,2016,343,321,8,8,0,5580,20,10,30,1063,32,71,4,39,16,5165,28,10,38,979,31,77,9,41,17,0.6223479490806223,707,4109,356,1471,0.6109271523178808,604,3724,375,1441,22,AFC North
BAL,2017,395,303,9,7,0,4903,20,14,34,1034,27,57,4,56,13,5239,18,12,30,1033,41,86,12,46,21,0.6162988115449916,589,3030,445,1873,0.5504132231404959,605,3421,428,1818,92,AFC North
BAL,2018,389,287,10,6,0,6018,18,19,37,1114,32,63,10,31,9,4697,21,11,32,965,43,96,5,39,10,0.5699658703071673,586,3558,528,2460,0.5453074433656958,618,3362,347,1335,102,AFC North
