period,clock,las_score,con_score,description,team,event,x_loc,y_loc,field_goal_type,shot_made,assisted,shooting_foul,distance_from_hoop
2,06:24,18,29,[LAS] Mabrey Layup Shot: Missed Block: Jones (1 BLK),las,field_goal_attempt,-3,21,two_pointer,1,0,0,2.1213203435596424
2,06:15,18,29,[LAS] Mabrey Layup Shot: Missed Block: Jones (2 BLK),las,field_goal_attempt,54,17,two_pointer,1,0,0,5.661271941887265
2,06:05,18,29,[CON] Clarendon Turnover : Lost Ball (1 TO) Steal:Ogwumike (1 ST),con,turnover,95,134,NA,0,0,0,16.42589419179364
2,05:59,18,29,[CON] Jones Foul: Personal (1 PF),con,foul,-6,31,NA,0,0,0,3.157530680769389
2,05:51,20,29,[LAS 20-29] Ogwumike Jump Shot: Made (2 PTS) Assist: Gray (2 AST),las,field_goal_attempt,12,169,two_pointer,0,1,0,16.942549985170473
2,05:34,20,29,[CON] Jones Turnover : Lost Ball (2 TO) Steal:Ogwumike (1 ST),con,turnover,115,104,NA,0,0,0,15.505160431288676
2,05:23,20,29,[LAS] Ogwumike Foul: Offensive Charge (2 PF),las,foul,107,26,NA,0,0,0,11.01135777277262
2,05:23,20,29,[LAS] Ogwumike Turnover : Offensive Foul Turnover (4 TO),las,turnover,107,26,NA,0,0,0,11.01135777277262
2,05:13,20,29,[CON] Jones 3pt Shot: Missed,con,field_goal_attempt,-109,247,three_pointer,1,0,0,26.99814808463721
2,04:57,22,29,[LAS 22-29] Gray Fadeaway Jump Shot: Made (2 PTS),las,field_goal_attempt,6,121,two_pointer,0,1,0,12.11486689980538
2,04:41,22,31,[CON 31-22] Jones Cutting Layup Shot: Made (5 PTS) Assist: Thomas (4 AST),con,field_goal_attempt,24,-5,two_pointer,0,1,0,2.4515301344262523
2,04:28,22,31,[LAS] Ogwumike Turnover : Lost Ball (5 TO) Steal:Thomas (1 ST),las,turnover,-115,138,NA,0,0,0,17.963574254585307
2,04:24,22,33,[CON 33-22] Williams Running Layup Shot: Made (12 PTS) Assist: Thomas (1 AST),con,field_goal_attempt,-42,1,two_pointer,0,1,0,4.201190307520001
2,04:07,22,33,[LAS] Gray Pullup Jump shot: Missed Block: Williams (1 BLK),las,field_goal_attempt,50,108,two_pointer,1,0,0,11.901260437449473
2,04:00,22,35,[CON 35-22] Thomas Running Layup Shot: Made (4 PTS),con,field_goal_attempt,-3,35,two_pointer,0,1,0,3.5128336140500593
2,03:34,22,35,[LAS] Ruffin-Pratt 3pt Shot: Missed,las,field_goal_attempt,-27,229,three_pointer,1,0,0,23.058620947489466
2,03:33,22,35,[LAS] Team Turnover : Shot Clock Turnover,las,turnover,150,200,NA,0,0,0,25
2,03:21,22,35,[CON] Thomas Driving Layup Shot: Missed,con,field_goal_attempt,-46,64,two_pointer,1,0,0,7.881624198095213
2,03:16,22,35,[CON] Williams Driving Layup Shot: Missed,con,field_goal_attempt,49,6,two_pointer,1,0,0,4.9365980188789935
2,03:04,24,35,[LAS 24-35] Ogwumike Layup Shot: Made (5 PTS),las,field_goal_attempt,32,16,two_pointer,0,1,0,3.577708763999664
2,02:48,24,35,[CON] Jones Turnover : Bad Pass (3 TO) Steal:Ogwumike (2 ST),con,turnover,33,88,NA,0,0,0,9.398404119849285
2,02:41,27,35,[LAS 27-35] Wiese 3pt Shot: Made (7 PTS) Assist: Gray (3 AST),las,field_goal_attempt,-195,167,three_pointer,0,1,0,25.673721974034073
2,02:26,27,35,[LAS] Ogwumike Foul: Shooting (3 PF) (2 FTA),las,foul,-74,64,NA,0,0,1,9.783659846908007
2,02:07,27,36,[LAS] Ruffin-Pratt Turnover : Lost Ball (2 TO) Steal:Thomas (2 ST),las,turnover,56,49,NA,0,0,0,7.441102068914255
2,01:58,27,38,[CON 38-27] Thomas Running Layup Shot: Made (7 PTS),con,field_goal_attempt,-30,7,two_pointer,0,1,0,3.0805843601498726
2,01:44,29,38,[LAS 29-38] Ogwumike Jump Shot: Made (4 PTS) Assist: Ruffin-Pratt (2 AST),las,field_goal_attempt,19,64,two_pointer,0,1,0,6.676076692189808
2,01:14,29,38,[CON] Stricklen 3pt Shot: Missed,con,field_goal_attempt,194,196,three_pointer,1,0,0,27.57752708275345
2,01:14,29,38,[CON] Team Turnover : Shot Clock Turnover,con,turnover,191,174,NA,0,0,0,25.83737602776257
2,01:06,29,38,[LAS] Gray 3pt Shot: Missed,las,field_goal_attempt,141,235,three_pointer,1,0,0,27.40547390577291
2,00:55.0,29,41,[CON 41-29] Stricklen 3pt Shot: Made (5 PTS) Assist: Thomas (5 AST),con,field_goal_attempt,-239,15,three_pointer,0,1,0,23.94702486740263
2,00:44.2,29,41,[CON] Stricklen Foul: Shooting (2 PF) (3 FTA),con,foul,197,181,NA,0,0,1,26.752569970004753
2,00:23.3,32,41,[CON] Thomas Driving Hook Shot: Missed Block: Ogwumike (1 BLK),con,field_goal_attempt,-47,65,two_pointer,1,0,0,8.02122185206219
2,00:22.8,32,41,[LAS] Walker Foul: Shooting (1 PF) (2 FTA),las,foul,33,40,NA,0,0,1,5.185556864985669
2,00:01.0,32,43,[LAS] Wiese 3pt Shot: Missed,las,field_goal_attempt,-97,258,three_pointer,1,0,0,27.56320010448714
3,09:42,32,43,[CON] Thomas Turnover : Bad Pass (2 TO) Steal:Ruffin-Pratt (1 ST),con,turnover,200,171,NA,0,0,0,26.313684652666947
3,09:27,32,43,[LAS] Ogwumike Driving Hook Shot: Missed,las,field_goal_attempt,-3,67,two_pointer,1,0,0,6.706713054842886
3,09:14,32,46,[CON 46-32] Thomas 3pt Shot: Made (9 PTS) Assist: Williams (2 AST),con,field_goal_attempt,169,202,three_pointer,0,1,0,26.337235997727625
3,08:46,32,46,[LAS] Ruffin-Pratt Pullup Jump shot: Missed,las,field_goal_attempt,2,92,two_pointer,1,0,0,9.202173656261872
3,08:31,32,46,[CON] Thomas Driving Floating Jump Shot: Missed,con,field_goal_attempt,7,65,two_pointer,1,0,0,6.5375836514724615
3,08:22,32,46,[CON] Stricklen Foul: Shooting (3 PF) (2 FTA),con,foul,74,97,NA,0,0,1,12.200409829181968
3,08:03,34,48,[CON 48-34] Jones Step Back Jump shot: Made (9 PTS) Assist: Stricklen (1 AST),con,field_goal_attempt,82,89,two_pointer,0,1,0,12.101652779682617
3,07:49,34,48,[LAS] Wiese 3pt Shot: Missed,las,field_goal_attempt,-109,247,three_pointer,1,0,0,26.99814808463721
3,07:45,34,48,[CON] Williams Jump Shot: Missed,con,field_goal_attempt,74,117,two_pointer,1,0,0,13.843771162512041
3,07:43,34,48,[LAS] Ogwumike Jump Shot: Missed Block: Jones (2 BLK),las,field_goal_attempt,-14,77,two_pointer,1,0,0,7.826237921249264
3,07:43,34,48,[LAS] Ogwumike Jump Shot: Missed Block: Jones (3 BLK),las,field_goal_attempt,-4,77,two_pointer,1,0,0,7.710382610480495
3,07:31,34,48,[LAS] Gray Jump Shot: Missed,las,field_goal_attempt,105,185,two_pointer,1,0,0,21.27204738618265
3,07:10,34,48,[CON] Jones Step Back Jump shot: Missed,con,field_goal_attempt,169,40,two_pointer,1,0,0,17.366922582887273
3,06:56,34,48,[CON] Thomas Foul: Personal (2 PF),con,foul,109,146,NA,0,0,0,18.220043907740727
3,06:46,34,48,[LAS] Mabrey Driving Finger Roll Layup Shot: Missed,las,field_goal_attempt,-54,38,two_pointer,1,0,0,6.603029607687671
3,06:44,36,48,[LAS 36-48] Ogwumike Putback Layup Shot: Made (6 PTS),las,field_goal_attempt,0,-5,two_pointer,0,1,0,0.5
3,06:31,36,48,[CON] Williams Jump Shot: Missed Block: Wiese (1 BLK),con,field_goal_attempt,1,162,two_pointer,1,0,0,16.200308639035246
3,06:25,36,50,[CON 50-36] Jones Putback Layup Shot: Made (11 PTS),con,field_goal_attempt,0,-5,two_pointer,0,1,0,0.5
3,06:17,38,50,[LAS 38-50] Ogwumike Driving Layup Shot: Made (8 PTS) Assist: Wiese (2 AST),las,field_goal_attempt,7,37,two_pointer,0,1,0,3.7656340767525465
3,06:17,38,50,[CON] Thomas Foul: Shooting (1 PF) (1 FTA),con,foul,7,37,NA,0,0,1,3.7656340767525465
3,06:02,38,52,[CON 52-38] Jones Driving Layup Shot: Made (13 PTS) Assist: Thomas (2 AST),con,field_goal_attempt,45,14,two_pointer,0,1,0,4.712748667179271
3,05:52,40,52,[LAS 40-52] Ogwumike Cutting Layup Shot: Made (7 PTS) Assist: Wiese (3 AST),las,field_goal_attempt,-46,-4,two_pointer,0,1,0,4.617358552246078
3,05:31,40,55,[CON 55-40] Stricklen 3pt Shot: Made (8 PTS) Assist: Thomas (3 AST),con,field_goal_attempt,-229,63,three_pointer,0,1,0,23.750789460563198
