"","match_id.x","tournament","year","winner_name","loser_name","winner_rank","loser_rank","winner_age","winner_ioc","Retirement","w_pointswon","w_gameswon","w_setswon","l_pointswon","l_gameswon","l_setswon","round","a1","a2","match_id.y","player1","player2","Tour","slam","week","w_ave_serve_speed","l_ave_serve_speed","w_n_aces","l_n_aces","w_n_winners","l_n_winners","w_n_netpt_w","l_n_netpt_w","w_n_netpt","l_n_netpt","w_n_bp_w","l_n_bp_w","w_n_bp","l_n_bp","w_n_ue","l_n_ue","w_n_sv_w","l_n_sv_w","w_n_sv","l_n_sv"
"2337","2017-520:132","French Open",2017,"Simona Halep","Jana Cepelova",4,89,25.6700889802,"ROU",FALSE,63,12,2,44,5,0,"R128","Jana Cepelova","Simona Halep","2017-frenchopen-2148","Jana Cepelova","Simona Halep","wta","frenchopen","Week 1",61.7,60.140350877193,0,0,11,10,2,2,5,5,7,3,10,5,23,29,29,23,50,57
"2338","2017-520:133","French Open",2017,"Su Wei Hsieh","Johanna Konta",109,8,31.3976728268,"TPE",FALSE,94,14,2,105,16,1,"R128","Johanna Konta","Su Wei Hsieh","2017-frenchopen-2149","Johanna Konta","Su Wei Hsieh","wta","frenchopen","Week 1",74.4666666666667,82.7978723404255,0,4,29,37,19,19,35,35,2,3,8,12,26,38,63,63,105,94
"2339","2017-520:134","French Open",2017,"Taylor Townsend","Miyu Kato",121,199,21.1170431211,"USA",FALSE,67,12,2,46,4,0,"R128","Miyu Kato","Taylor Townsend","2017-frenchopen-2150","Miyu Kato","Taylor Townsend","wta","frenchopen","Week 1",71.1016949152542,72.8333333333333,0,0,19,10,3,3,10,10,6,2,8,9,21,27,35,22,59,54
"2340","2017-520:135","French Open",2017,"Chloe Paquet","Kristyna Pliskova",260,44,22.9103353867,"FRA",FALSE,100,18,2,79,11,1,"R128","Chloe Paquet","Kristyna Pliskova","2017-frenchopen-2151","Chloe Paquet","Kristyna Pliskova","wta","frenchopen","Week 1",67.7977528089888,69.8444444444444,7,3,37,30,4,4,6,6,6,2,8,4,30,41,60,50,89,90
"2341","2017-520:136","French Open",2017,"Caroline Garcia","Nao Hibino",27,83,23.6167008898,"FRA",FALSE,60,12,2,37,4,0,"R128","Caroline Garcia","Nao Hibino","2017-frenchopen-2152","Nao Hibino","Caroline Garcia","wta","frenchopen","Week 1",82.4390243902439,69.5178571428571,4,1,22,8,1,1,2,2,5,1,12,2,14,21,30,26,41,56
"2342","2017-520:139","French Open",2017,"Alison Van Uytvanck","Naomi Osaka",113,55,23.1759069131,"BEL",FALSE,72,13,2,58,8,0,"R128","Alison Van Uytvanck","Naomi Osaka","2017-frenchopen-2155","Naomi Osaka","Alison Van Uytvanck","wta","frenchopen","Week 1",86.3125,83.7121212121212,4,3,15,15,3,3,4,4,4,2,10,4,23,28,42,36,64,66
"2343","2017-520:14","French Open",2017,"Denis Istomin","Ernesto Escobedo",80,75,30.7241615332,"UZB",FALSE,103,19,3,83,13,0,"R128","Denis Istomin","Ernesto Escobedo","2017-frenchopen-1114","Ernesto Escobedo","Denis Istomin","atp","frenchopen","Week 1",0,0,11,6,40,29,4,4,9,9,2,0,5,6,23,29,72,61,94,92
"2344","2017-520:140","French Open",2017,"Agnieszka Radwanska","Fiona Ferro",10,208,28.2299794661,"POL",FALSE,62,12,2,40,2,0,"R128","Agnieszka Radwanska","Fiona Ferro","2017-frenchopen-2156","Fiona Ferro","Agnieszka Radwanska","wta","frenchopen","Week 1",71.3137254901961,72.8823529411765,4,0,19,24,4,4,5,5,5,0,8,3,6,29,33,22,51,51
"2345","2017-520:142","French Open",2017,"Veronica Cepede Royg","Lucie Safarova",97,39,25.3524982888,"PAR",FALSE,60,12,2,40,5,0,"R128","Lucie Safarova","Veronica Cepede Royg","2017-frenchopen-2158","Veronica Cepede Royg","Lucie Safarova","wta","frenchopen","Week 1",79.9761904761905,68.2758620689655,1,1,13,9,1,1,2,2,5,2,11,3,12,25,30,28,42,58
"2346","2017-520:143","French Open",2017,"Mariana Duque Marino","Irina Camelia Begu",115,46,27.794661191,"COL",FALSE,77,13,2,67,10,0,"R128","Irina Camelia Begu","Mariana Duque Marino","2017-frenchopen-2159","Mariana Duque Marino","Irina Camelia Begu","wta","frenchopen","Week 1",0,0,1,1,19,18,7,7,7,7,6,5,7,15,24,34,41,30,78,66
"2347","2017-520:144","French Open",2017,"Magdalena Rybarikova","Coco Vandeweghe",192,20,28.6488706366,"SVK",FALSE,60,12,2,38,5,0,"R128","Coco Vandeweghe","Magdalena Rybarikova","2017-frenchopen-2160","Magdalena Rybarikova","Coco Vandeweghe","wta","frenchopen","Week 1",78.4,87.3953488372093,5,1,12,15,2,2,2,2,3,0,4,2,10,27,40,23,55,43
"2348","2017-520:145","French Open",2017,"Carina Witthoeft","Lauren Davis",73,26,22.2806297057,"GER",FALSE,87,14,2,85,12,1,"R128","Carina Witthoeft","Lauren Davis","2017-frenchopen-2161","Lauren Davis","Carina Witthoeft","wta","frenchopen","Week 1",0,0,1,3,20,39,7,7,11,11,6,5,13,9,28,40,46,45,86,86
"2349","2017-520:146","French Open",2017,"Pauline Parmentier","Irina Khromacheva",81,103,31.3237508556,"FRA",FALSE,63,12,2,38,3,0,"R128","Irina Khromacheva","Pauline Parmentier","2017-frenchopen-2162","Irina Khromacheva","Pauline Parmentier","wta","frenchopen","Week 1",81.0862068965517,74.0232558139535,4,2,18,11,1,1,3,3,5,1,8,5,18,22,37,17,58,43
"2350","2017-520:147","French Open",2017,"Ekaterina Alexandrova","Katerina Siniakova",86,38,22.5352498289,"RUS",FALSE,85,14,2,78,12,1,"R128","Ekaterina Alexandrova","Katerina Siniakova","2017-frenchopen-2163","Ekaterina Alexandrova","Katerina Siniakova","wta","frenchopen","Week 1",0,0,4,2,19,23,6,6,9,9,4,3,5,6,26,23,58,42,94,69
"2351","2017-520:148","French Open",2017,"Karolina Pliskova","Saisai Zheng",3,67,25.1882272416,"CZE",FALSE,70,13,2,55,7,0,"R128","Karolina Pliskova","Saisai Zheng","2017-frenchopen-2164","Saisai Zheng","Karolina Pliskova","wta","frenchopen","Week 1",58.5172413793103,65.1791044776119,0,0,18,19,4,4,7,7,6,3,8,3,26,20,35,32,58,67
