team,season,points_scored,points_allowed,wins,losses,ties,pass_off_epa_per_att,pass_off_total_epa,pass_off_total_yards_gained,pass_off_yards_gained_per_att,run_off_epa_per_att,run_off_total_epa,run_off_total_yards_gained,run_off_yards_gained_per_att,pass_def_epa_per_att,pass_def_total_epa,pass_def_total_yards_allowed,pass_def_yards_allowed_per_att,run_def_epa_per_att,run_def_total_epa,run_def_total_yards_allowed,run_def_yards_allowed_per_att,division
DET,2009,262,494,2,14,0,-0.20599470716744606,-126.27475549364443,3170,5.154471544715447,-0.11843892918198719,-47.84932738952282,1620,3.9901477832512313,0.17663228209092097,99.79723938137035,4254,7.5159010600706715,-0.08962716394602338,-38.89818915257415,2046,4.703448275862069,NFC North
DET,2010,362,369,6,10,0,0.04001881382661319,26.33237949791148,3847,5.83763277693475,-0.11334806231550285,-45.22587686388564,1614,4.035,-0.06956765346847206,-38.88831828887588,3497,6.222419928825623,0.00948119400206952,4.048469838883685,2014,4.716627634660422,NFC North
DET,2011,474,387,10,6,0,0.15445407261336708,111.6702944994644,5086,7.024861878453039,-0.027136343062551974,-9.877628874768918,1559,4.271232876712329,-0.06916328347105498,-45.509440523954176,4121,6.234493192133131,-0.0016962932477941463,-0.6869987653566292,2078,5.0931372549019605,NFC North
DET,2012,372,437,4,12,0,0.050642364389623086,38.43755457172392,4927,6.465879265091863,-0.07955186964210673,-30.62746981221109,1619,4.183462532299742,0.07982593056762555,45.42095449297894,3578,6.277192982456141,-0.015168746154881165,-6.219185923501278,1978,4.81265206812652,NFC North
DET,2013,395,376,7,9,0,0.08782553738569447,57.43790145024418,4478,6.847094801223242,-0.07461663966496433,-32.23438833526459,1812,4.194444444444445,0.07286961476700957,44.08611693404079,3956,6.506578947368421,-0.19187787486777916,-69.26791282726828,1628,4.497237569060774,NFC North
DET,2014,321,282,11,5,0,0.09010753070719232,57.75892718331028,4022,6.255054432348367,-0.10026333275333842,-37.89953978076192,1440,3.8095238095238093,0.02059377229688649,12.91229523014783,3702,5.876190476190477,-0.24853135960745373,-85.49478770496408,1118,3.25,NFC North
DET,2015,358,400,7,9,0,0.0616702333042278,41.56573724704953,4212,6.249258160237389,-0.11491959853396994,-39.41742229715169,1352,3.9302325581395348,0.1260143145210072,71.70214496245309,3792,6.652631578947369,-0.041775988772345785,-17.211707374206462,1819,4.393719806763285,NFC North
DET,2016,346,358,9,7,0,0.11907304690785729,74.65880041122652,4111,6.546178343949045,-0.046797218458804316,-15.957851494452273,1319,3.8567251461988303,0.21484711974008264,123.10739961106735,3979,6.92,-0.01670688825829993,-6.265083096862474,1721,4.589333333333333,NFC North
DET,2017,410,376,9,7,0,0.07166578852709136,44.21779152121537,4187,6.775080906148867,-0.19124087277892696,-67.69926896374015,1230,3.464788732394366,-0.0385158867267602,-23.302111469689923,3895,6.427392739273928,-0.04040553597254288,-16.84910850055038,1817,4.34688995215311,NFC North
DET,2018,324,360,6,10,0,0.03377319433966876,20.770514518896285,3576,5.7957860615883305,-0.040853412689032795,-16.137098012167954,1670,4.217171717171717,0.13338883770246396,71.62980584622315,3603,6.684601113172541,0.0010302170801394304,0.40075444417423833,1776,4.553846153846154,NFC North
