shot_x,shot_y,shot_distance,is_shot_made,period,shot_type
-123,132,18,FALSE,3,2PT Field Goal
22,158,15,FALSE,3,2PT Field Goal
101,253,27,FALSE,3,3PT Field Goal
77,274,28,TRUE,3,3PT Field Goal
-106,232,25,FALSE,3,3PT Field Goal
-2,24,2,FALSE,3,2PT Field Goal
234,110,25,TRUE,3,3PT Field Goal
130,246,27,FALSE,4,3PT Field Goal
2,6,0,TRUE,4,2PT Field Goal
-176,196,26,TRUE,1,3PT Field Goal
-141,235,27,FALSE,1,3PT Field Goal
116,173,20,FALSE,1,2PT Field Goal
22,27,3,TRUE,1,2PT Field Goal
-24,310,31,FALSE,1,3PT Field Goal
-12,43,4,FALSE,1,2PT Field Goal
227,38,23,FALSE,1,3PT Field Goal
-225,37,22,TRUE,1,3PT Field Goal
-130,117,17,FALSE,1,2PT Field Goal
2,69,6,TRUE,2,2PT Field Goal
37,275,27,FALSE,2,3PT Field Goal
-226,13,22,TRUE,2,3PT Field Goal
175,211,27,FALSE,3,3PT Field Goal
230,69,24,TRUE,3,3PT Field Goal
-179,179,25,FALSE,3,3PT Field Goal
-8,10,1,TRUE,3,2PT Field Goal
-70,60,9,TRUE,3,2PT Field Goal
-158,206,25,TRUE,3,3PT Field Goal
-22,14,2,FALSE,3,2PT Field Goal
3,299,29,TRUE,4,3PT Field Goal
116,252,27,TRUE,4,3PT Field Goal
170,89,19,TRUE,4,2PT Field Goal
19,298,29,FALSE,4,3PT Field Goal
-232,36,23,TRUE,1,3PT Field Goal
89,206,22,FALSE,1,2PT Field Goal
-231,23,23,FALSE,1,3PT Field Goal
-231,7,23,FALSE,1,3PT Field Goal
151,211,25,TRUE,2,3PT Field Goal
-128,230,26,FALSE,2,3PT Field Goal
9,32,3,FALSE,2,2PT Field Goal
95,152,17,TRUE,3,2PT Field Goal
-209,155,26,FALSE,3,3PT Field Goal
-169,193,25,FALSE,3,3PT Field Goal
165,192,25,FALSE,3,3PT Field Goal
-116,40,12,FALSE,4,2PT Field Goal
118,163,20,TRUE,1,2PT Field Goal
-193,159,25,FALSE,1,3PT Field Goal
-14,5,1,TRUE,1,2PT Field Goal
236,18,23,TRUE,1,3PT Field Goal
-8,8,1,FALSE,1,2PT Field Goal
216,118,24,TRUE,2,3PT Field Goal
-60,68,9,TRUE,2,2PT Field Goal
-104,231,25,FALSE,2,3PT Field Goal
146,244,28,FALSE,2,3PT Field Goal
-229,37,23,TRUE,2,3PT Field Goal
200,162,25,FALSE,2,3PT Field Goal
-35,613,61,FALSE,2,3PT Field Goal
-162,184,24,TRUE,3,3PT Field Goal
-4,24,2,TRUE,3,2PT Field Goal
224,19,22,TRUE,3,3PT Field Goal
33,193,19,FALSE,3,2PT Field Goal
61,167,17,TRUE,3,2PT Field Goal
132,140,19,FALSE,3,2PT Field Goal
137,210,25,FALSE,3,3PT Field Goal
163,222,27,FALSE,4,3PT Field Goal
230,42,23,FALSE,4,3PT Field Goal
-105,229,25,FALSE,4,3PT Field Goal
-5,3,0,TRUE,4,2PT Field Goal
-165,223,27,FALSE,1,3PT Field Goal
-13,22,2,FALSE,1,2PT Field Goal
-23,18,2,TRUE,1,2PT Field Goal
-231,36,23,FALSE,2,3PT Field Goal
-228,122,25,FALSE,2,3PT Field Goal
-155,264,30,TRUE,2,3PT Field Goal
-181,205,27,FALSE,2,3PT Field Goal
-55,88,10,TRUE,3,2PT Field Goal
-194,167,25,TRUE,3,3PT Field Goal
122,150,19,FALSE,3,2PT Field Goal
-16,8,1,TRUE,3,2PT Field Goal
141,248,28,TRUE,4,3PT Field Goal
95,261,27,FALSE,4,3PT Field Goal
-4,30,3,FALSE,4,2PT Field Goal
-2,36,3,FALSE,4,2PT Field Goal
-194,174,26,FALSE,4,3PT Field Goal
11,163,16,FALSE,1,2PT Field Goal
25,19,3,FALSE,1,2PT Field Goal
-228,57,23,TRUE,1,3PT Field Goal
-14,-6,1,TRUE,2,2PT Field Goal
234,98,25,TRUE,2,3PT Field Goal
-162,185,24,TRUE,2,3PT Field Goal
34,11,3,TRUE,2,2PT Field Goal
-150,204,25,TRUE,2,3PT Field Goal
28,27,3,TRUE,2,2PT Field Goal
46,99,10,FALSE,2,2PT Field Goal
225,-8,22,FALSE,2,3PT Field Goal
-203,167,26,FALSE,3,3PT Field Goal
-231,5,23,TRUE,3,3PT Field Goal
-115,84,14,TRUE,3,2PT Field Goal
-93,128,15,FALSE,4,2PT Field Goal
-32,23,3,TRUE,4,2PT Field Goal
24,4,2,TRUE,4,2PT Field Goal
0,31,3,FALSE,4,2PT Field Goal
-183,179,25,FALSE,4,3PT Field Goal
20,5,2,TRUE,4,2PT Field Goal
-210,155,26,FALSE,4,3PT Field Goal
-210,164,26,FALSE,1,3PT Field Goal
117,259,28,FALSE,1,3PT Field Goal
-175,262,31,FALSE,1,3PT Field Goal
-213,170,27,TRUE,1,3PT Field Goal
-136,254,28,TRUE,2,3PT Field Goal
-221,225,31,FALSE,2,3PT Field Goal
125,147,19,TRUE,2,2PT Field Goal
-19,29,3,FALSE,2,2PT Field Goal
172,62,18,FALSE,2,2PT Field Goal
-157,225,27,TRUE,2,3PT Field Goal
233,67,24,TRUE,2,3PT Field Goal
-228,57,23,FALSE,2,3PT Field Goal
177,223,28,FALSE,2,3PT Field Goal
92,260,27,FALSE,3,3PT Field Goal
-19,21,2,FALSE,3,2PT Field Goal
-171,187,25,FALSE,3,3PT Field Goal
-154,215,26,FALSE,4,3PT Field Goal
0,9,0,FALSE,4,2PT Field Goal
168,247,29,TRUE,4,3PT Field Goal
158,211,26,TRUE,4,3PT Field Goal
-231,74,24,FALSE,4,3PT Field Goal
-11,260,26,FALSE,4,3PT Field Goal
15,20,2,TRUE,1,2PT Field Goal
230,46,23,FALSE,1,3PT Field Goal
4,10,1,TRUE,1,2PT Field Goal
-142,243,28,FALSE,2,3PT Field Goal
185,195,26,FALSE,2,3PT Field Goal
230,13,23,TRUE,2,3PT Field Goal
68,267,27,FALSE,2,3PT Field Goal
-128,258,28,TRUE,2,3PT Field Goal
-133,142,19,TRUE,2,2PT Field Goal
81,267,27,TRUE,2,3PT Field Goal
20,24,3,TRUE,3,2PT Field Goal
17,288,28,FALSE,3,3PT Field Goal
160,206,26,FALSE,3,3PT Field Goal
-108,231,25,TRUE,3,3PT Field Goal
-92,103,13,TRUE,3,2PT Field Goal
-3,75,7,FALSE,3,2PT Field Goal
-163,195,25,FALSE,3,3PT Field Goal
175,195,26,FALSE,4,3PT Field Goal
-232,14,23,TRUE,4,3PT Field Goal
-130,226,26,TRUE,4,3PT Field Goal
168,236,28,FALSE,4,3PT Field Goal
13,25,2,TRUE,4,2PT Field Goal
-111,152,18,FALSE,1,2PT Field Goal
-147,256,29,FALSE,1,3PT Field Goal
-9,36,3,TRUE,1,2PT Field Goal
101,164,19,TRUE,1,2PT Field Goal
-197,191,27,FALSE,2,3PT Field Goal
156,225,27,FALSE,2,3PT Field Goal
5,16,1,TRUE,2,2PT Field Goal
-157,73,17,FALSE,2,2PT Field Goal
-202,15,20,FALSE,2,2PT Field Goal
-231,13,23,FALSE,3,3PT Field Goal
7,99,9,FALSE,3,2PT Field Goal
-21,32,3,FALSE,3,2PT Field Goal
24,263,26,TRUE,3,3PT Field Goal
234,19,23,TRUE,3,3PT Field Goal
168,237,29,FALSE,3,3PT Field Goal
187,194,26,FALSE,4,3PT Field Goal
-100,46,11,FALSE,4,2PT Field Goal
16,85,8,TRUE,1,2PT Field Goal
-152,10,15,FALSE,1,2PT Field Goal
12,67,6,TRUE,1,2PT Field Goal
-184,14,18,TRUE,1,2PT Field Goal
198,173,26,FALSE,2,3PT Field Goal
8,129,12,TRUE,2,2PT Field Goal
-143,215,25,TRUE,2,3PT Field Goal
-60,253,26,TRUE,2,3PT Field Goal
134,61,14,FALSE,2,2PT Field Goal
197,362,41,FALSE,2,3PT Field Goal
106,259,27,FALSE,3,3PT Field Goal
92,45,10,FALSE,3,2PT Field Goal
-136,293,32,TRUE,3,3PT Field Goal
71,269,27,FALSE,3,3PT Field Goal
228,60,23,FALSE,4,3PT Field Goal
3,176,17,FALSE,4,2PT Field Goal
-145,283,31,TRUE,4,3PT Field Goal
-19,288,28,FALSE,4,3PT Field Goal
183,199,27,FALSE,4,3PT Field Goal
-11,38,3,TRUE,4,2PT Field Goal
207,147,25,TRUE,4,3PT Field Goal
201,190,27,FALSE,4,3PT Field Goal
201,170,26,TRUE,4,3PT Field Goal
-72,291,29,FALSE,4,3PT Field Goal
-99,174,20,FALSE,5,2PT Field Goal
131,149,19,FALSE,5,2PT Field Goal
65,115,13,TRUE,1,2PT Field Goal
126,225,25,FALSE,1,3PT Field Goal
23,5,2,FALSE,1,2PT Field Goal
50,210,21,TRUE,2,2PT Field Goal
38,131,13,TRUE,2,2PT Field Goal
-180,187,25,TRUE,2,3PT Field Goal
-226,75,23,FALSE,2,3PT Field Goal
-155,74,17,FALSE,2,2PT Field Goal
-171,216,27,FALSE,2,3PT Field Goal
-188,169,25,TRUE,3,3PT Field Goal
26,254,25,FALSE,3,3PT Field Goal
-71,74,10,FALSE,4,2PT Field Goal
131,236,26,FALSE,4,3PT Field Goal
-223,16,22,FALSE,4,3PT Field Goal
24,164,16,TRUE,4,2PT Field Goal
-4,9,0,FALSE,1,2PT Field Goal
12,251,25,FALSE,1,3PT Field Goal
-30,15,3,TRUE,1,2PT Field Goal
-9,0,0,TRUE,1,2PT Field Goal
-3,5,0,TRUE,2,2PT Field Goal
-188,166,25,TRUE,2,3PT Field Goal
-87,130,15,FALSE,2,2PT Field Goal
-161,199,25,FALSE,2,3PT Field Goal
142,140,19,TRUE,2,2PT Field Goal
61,117,13,TRUE,2,2PT Field Goal
24,259,26,TRUE,3,3PT Field Goal
82,238,25,TRUE,4,3PT Field Goal
174,180,25,FALSE,4,3PT Field Goal
4,-3,0,TRUE,4,2PT Field Goal
-230,31,23,TRUE,4,3PT Field Goal
-230,29,23,TRUE,4,3PT Field Goal
-1,275,27,FALSE,4,3PT Field Goal
-225,62,23,FALSE,1,3PT Field Goal
-47,291,29,FALSE,1,3PT Field Goal
-57,265,27,FALSE,1,3PT Field Goal
3,37,3,TRUE,1,2PT Field Goal
-219,143,26,TRUE,2,3PT Field Goal
9,21,2,TRUE,2,2PT Field Goal
190,180,26,FALSE,2,3PT Field Goal
-24,20,3,TRUE,2,2PT Field Goal
-120,290,31,TRUE,2,3PT Field Goal
-2,158,15,TRUE,3,2PT Field Goal
-10,10,1,TRUE,3,2PT Field Goal
230,27,23,TRUE,3,3PT Field Goal
230,-1,23,FALSE,3,3PT Field Goal
-145,147,20,FALSE,3,2PT Field Goal
-190,204,27,TRUE,3,3PT Field Goal
-26,17,3,TRUE,3,2PT Field Goal
-154,213,26,FALSE,4,3PT Field Goal
188,194,27,FALSE,4,3PT Field Goal
11,58,5,FALSE,4,2PT Field Goal
-4,73,7,TRUE,4,2PT Field Goal
209,171,27,FALSE,4,3PT Field Goal
73,278,28,FALSE,4,3PT Field Goal
0,714,71,FALSE,4,3PT Field Goal
-6,11,1,TRUE,5,2PT Field Goal
-230,-7,23,TRUE,5,3PT Field Goal
100,73,12,FALSE,5,2PT Field Goal
-165,67,17,TRUE,5,2PT Field Goal
178,178,25,FALSE,1,3PT Field Goal
-177,178,25,TRUE,1,3PT Field Goal
188,169,25,TRUE,1,3PT Field Goal
-6,274,27,TRUE,1,3PT Field Goal
-137,138,19,TRUE,2,2PT Field Goal
-228,89,24,FALSE,2,3PT Field Goal
-161,202,25,TRUE,2,3PT Field Goal
-198,76,21,TRUE,2,2PT Field Goal
-20,15,2,FALSE,2,2PT Field Goal
-116,224,25,TRUE,3,3PT Field Goal
181,173,25,TRUE,3,3PT Field Goal
61,248,25,FALSE,3,3PT Field Goal
149,198,24,FALSE,3,3PT Field Goal
-97,222,24,FALSE,3,3PT Field Goal
30,243,24,TRUE,4,3PT Field Goal
87,241,25,FALSE,4,3PT Field Goal
234,43,23,FALSE,4,3PT Field Goal
-57,264,27,TRUE,4,3PT Field Goal
84,247,26,TRUE,4,3PT Field Goal
3,40,4,TRUE,4,2PT Field Goal
