pitch_type,release_speed,release_spin_rate,plate_x,plate_z,type,balls,strikes,events
FF,98.7,2477,-0.1724,4.0434,B,0,2,NA
FF,97.3,2335,-0.6087,2.7473,S,0,1,NA
FF,97.1,2199,-0.4094,2.5558,S,0,0,NA
FF,96.1,2430,0.3002,2.6601,X,1,0,field_out
SL,92.2,2508,1.4517,2.3998,B,0,0,NA
FF,98.1,2398,0.5847,2.5563,X,2,2,single
FF,97.8,2403,-0.0554,2.2433,S,2,1,NA
CU,86.3,2804,1.4794,1.6252,B,1,1,NA
FF,96.7,2474,1.1157,1.7067,B,0,1,NA
FF,97.3,2518,0.4394,1.892,S,0,0,NA
SL,93.5,2557,1.3714,1.8567,S,0,2,strikeout
FF,96.9,2345,0.1522,3.1559,S,0,2,NA
FF,97.5,2414,-0.2468,2.8304,S,0,2,NA
FF,97.1,2398,0.2853,2.7352,S,0,1,NA
FF,96.7,2429,-0.0113,2.4138,S,0,0,NA
FF,97.1,2442,0.5873,2.7936,S,0,2,strikeout
FF,96,2330,-0.2514,3.1209,S,0,1,NA
FF,96.6,2341,0.9423,1.854,S,0,0,NA
CU,82.6,2708,-0.0025,2.7064,S,1,1,pickoff_1b
SL,93,2443,0.7907,1.3633,B,0,1,NA
FF,96.6,2450,0.1363,2.7958,S,0,0,NA
SL,93.1,2467,-0.0021,2.5154,X,0,1,force_out
CU,84.2,2479,-0.1684,2.7915,S,0,0,NA
FF,96.9,2477,0.0323,2.924,X,2,1,sac_fly
FF,97.4,2408,-0.3239,2.7901,S,2,0,NA
CH,91.1,1721,0.4111,1.5355,B,1,0,NA
FF,97.6,2493,0.4595,3.845,B,0,0,NA
FF,98,2373,0.1748,2.1785,X,3,2,single
SL,93.3,2557,-0.8551,1.7595,S,3,2,NA
FF,97.3,2517,-0.1574,2.0863,S,3,1,NA
FF,96.3,2383,-0.1973,2.9824,S,3,0,NA
FF,97.6,2542,-0.5195,3.6514,B,2,0,NA
CU,85.6,2772,0.4398,1.1235,B,1,0,NA
FF,97.8,2415,-0.7168,3.622,B,0,0,NA
FF,97.5,2408,1.665,1.7713,B,3,2,walk
FF,96,2290,0.4284,1.8457,S,3,1,NA
FF,95.4,2329,0.2991,2.6569,S,3,0,NA
SL,91.3,2530,0.501,1.2022,B,2,0,NA
FF,96.2,2482,1.4879,2.9136,B,1,0,NA
FF,96.6,2387,1.3947,2.0293,B,0,0,NA
FF,99,2482,-0.4131,2.5959,S,2,2,strikeout
FF,98.2,2446,-0.2796,2.2477,S,2,1,NA
CH,91.5,1730,-1.5831,2.4317,B,1,1,NA
FF,97.9,2519,-0.572,2.7954,S,1,0,NA
FF,97.9,2503,-1.3176,3.2607,B,0,0,NA
SL,92.5,2581,0.5021,1.5127,X,1,2,field_out
FT,97.6,2429,0.7658,3.6672,B,0,2,NA
CH,90.1,1735,0.2708,1.9466,S,0,1,NA
