year,league,team_id,team_name,win_world_series,final_rank,games_played,wins,losses,runs_scored,hits,at_bats,walks,strikeouts,homeruns,hit_by_pitch,sacrifice_flies,runs_allowed,hits_allowed,walks_allowed,strikeouts_against,homeruns_allowed
1880,NL,WOR,Worcester Ruby Legs,NA,5,85,40,43,412,699,3024,81,278,8,NA,NA,370,709,97,297,13
1881,NL,BFN,Buffalo Bisons,NA,3,83,45,38,440,797,3019,108,270,12,NA,NA,447,881,89,185,9
1881,NL,BSN,Boston Red Caps,NA,6,83,38,45,347,733,2916,110,193,5,NA,NA,410,763,143,199,9
1881,NL,CHN,Chicago White Stockings,NA,1,84,56,28,550,918,3114,140,224,12,NA,NA,380,722,122,228,14
1881,NL,CL2,Cleveland Blues,NA,7,85,36,48,392,796,3117,132,224,7,NA,NA,414,737,126,240,9
1881,NL,DTN,Detroit Wolverines,NA,4,84,41,43,440,780,2995,136,250,17,NA,NA,429,785,137,265,8
1881,NL,PRO,Providence Grays,NA,2,85,47,37,447,780,3077,146,214,11,NA,NA,426,756,138,264,5
1881,NL,TRN,Troy Trojans,NA,5,85,39,45,399,754,3046,140,240,5,NA,NA,427,805,161,207,11
1881,NL,WOR,Worcester Ruby Legs,NA,8,83,32,50,410,781,3093,121,169,7,NA,NA,492,882,120,196,11
1882,NL,BFN,Buffalo Bisons,NA,3,84,45,39,500,858,3128,116,228,18,NA,NA,461,778,114,287,16
1882,AA,BL2,Baltimore Orioles,NA,6,74,19,54,272,537,2579,73,217,4,NA,NA,513,755,110,112,15
1882,NL,BSN,Boston Red Caps,NA,3,85,45,39,472,823,3118,134,244,15,NA,NA,414,738,77,352,10
1882,NL,CHN,Chicago White Stockings,NA,1,84,55,29,604,892,3225,142,262,15,NA,NA,353,667,102,279,13
1882,NL,CL2,Cleveland Blues,NA,5,84,42,40,402,716,3009,122,261,20,NA,NA,411,743,132,232,22
1882,AA,CN2,Cincinnati Red Stockings,NA,1,80,55,25,489,795,3007,102,204,5,NA,NA,268,609,125,165,7
1882,NL,DTN,Detroit Wolverines,NA,5,86,42,41,407,724,3144,122,308,19,NA,NA,488,808,129,354,19
1882,AA,LS2,Louisville Eclipse,NA,2,79,42,38,443,728,2806,128,193,9,NA,NA,352,637,112,240,6
1882,AA,PH4,Philadelphia Athletics,NA,3,75,41,34,406,660,2707,125,164,5,NA,NA,389,682,99,190,13
1882,NL,PRO,Providence Grays,NA,2,84,52,32,463,776,3104,102,255,11,NA,NA,356,690,87,273,12
1882,AA,PT1,Pittsburg Alleghenys,NA,4,79,39,39,426,725,2889,92,182,18,NA,NA,417,696,83,253,4
1882,AA,SL4,St. Louis Brown Stockings,NA,5,79,37,43,399,663,2865,112,226,11,NA,NA,496,729,103,225,7
1882,NL,TRN,Troy Trojans,NA,7,85,35,48,430,747,3057,109,298,12,NA,NA,522,836,165,184,13
1882,NL,WOR,Worcester Ruby Legs,NA,8,84,18,66,379,689,2984,113,303,16,NA,NA,652,964,151,195,21
1883,NL,BFN,Buffalo Bisons,NA,5,98,52,45,614,1058,3729,147,342,8,NA,NA,576,971,101,362,12
1883,AA,BL2,Baltimore Orioles,NA,8,96,28,68,471,870,3532,164,331,5,NA,NA,742,943,190,290,12
1883,NL,BSN,Boston Beaneaters,NA,1,98,63,35,669,1010,3657,123,423,34,NA,NA,456,853,90,538,11
1883,NL,CHN,Chicago White Stockings,NA,2,98,59,39,679,1000,3658,129,399,13,NA,NA,540,942,123,299,21
1883,NL,CL2,Cleveland Blues,NA,4,100,55,42,476,852,3457,139,374,8,NA,NA,443,818,217,402,7
1883,AA,CL5,Columbus Buckeyes,NA,6,97,32,65,476,854,3553,134,409,15,NA,NA,659,980,211,222,16
1883,AA,CN2,Cincinnati Red Stockings,NA,3,98,61,37,662,961,3669,139,261,34,NA,NA,413,766,168,215,17
1883,NL,DTN,Detroit Wolverines,NA,7,101,40,58,524,931,3726,166,378,13,NA,NA,650,1026,184,324,22
1883,AA,LS2,Louisville Eclipse,NA,5,98,52,45,564,892,3553,141,304,14,NA,NA,562,987,110,269,7
1883,NL,NY1,New York Gothams,NA,6,98,46,50,530,900,3524,127,297,24,NA,NA,577,907,170,323,19
1883,AA,NY4,New York Metropolitans,NA,4,97,54,42,498,883,3534,142,259,6,NA,NA,405,751,133,478,12
1883,AA,PH4,Philadelphia Athletics,NA,1,98,66,32,720,974,3712,200,268,20,NA,NA,547,921,95,347,22
1883,NL,PHI,Philadelphia Quakers,NA,8,99,17,81,437,859,3576,141,355,3,NA,NA,887,1267,125,253,20
1883,NL,PRO,Providence Grays,NA,3,98,58,40,636,1001,3685,149,309,21,NA,NA,436,827,111,376,12
1883,AA,PT1,Pittsburg Alleghenys,NA,7,98,31,67,525,892,3607,164,345,13,NA,NA,728,1140,151,271,21
1883,AA,SL4,St. Louis Browns,NA,2,98,65,33,549,891,3495,124,240,7,NA,NA,409,729,150,325,7
1884,UA,ALT,Altoona Mountain City,NA,10,25,6,19,90,223,899,22,130,2,NA,NA,216,292,52,93,3
1884,NL,BFN,Buffalo Bisons,N,3,114,64,47,700,1099,4197,215,458,39,NA,NA,626,1041,189,534,46
1884,AA,BL2,Baltimore Orioles,N,6,108,63,43,636,896,3845,211,545,32,64,NA,515,869,219,635,16
1884,UA,BLU,Baltimore Monumentals,NA,4,105,58,47,662,952,3883,144,652,17,NA,NA,627,1002,177,628,24
1884,AA,BR3,Brooklyn Atlantics,N,9,109,40,64,476,845,3763,179,417,16,16,NA,644,996,163,378,20
1884,NL,BSN,Boston Beaneaters,N,2,116,73,38,684,1063,4189,207,660,36,NA,NA,468,932,135,742,30
1884,UA,BSU,Boston Reds,NA,5,109,58,51,636,928,3940,128,787,19,NA,NA,558,885,110,753,17
1884,NL,CHN,Chicago White Stockings,N,5,112,62,50,834,1176,4182,264,469,142,NA,NA,647,1028,231,472,83
1884,UA,CHU,Chicago/Pittsburgh (Union League),NA,6,92,41,50,438,742,3212,119,505,10,NA,NA,482,743,137,679,12
1884,NL,CL2,Cleveland Blues,N,7,113,35,77,458,934,3934,170,576,16,NA,NA,716,1046,269,482,35
1884,AA,CL5,Columbus Buckeyes,N,2,110,69,39,585,901,3759,196,629,40,59,NA,459,815,172,526,22
1884,AA,CN2,Cincinnati Red Stockings,N,5,112,68,41,754,1037,4090,154,409,36,52,NA,512,955,181,308,27
1884,UA,CNU,Cincinnati Outlaw Reds,NA,3,103,69,36,703,1027,3786,147,482,26,NA,NA,466,831,90,503,17
1884,NL,DTN,Detroit Wolverines,N,8,114,28,84,445,825,3970,207,699,31,NA,NA,736,1097,245,488,36
1884,AA,IN2,Indianapolis Hoosiers,N,12,110,29,78,462,890,3813,125,561,20,22,NA,755,1000,199,479,30
1884,UA,KCU,Kansas City Cowboys,NA,11,82,16,63,311,557,2802,123,529,6,NA,NA,618,862,127,334,14
1884,AA,LS2,Louisville Eclipse,N,3,110,68,40,573,1004,3957,146,408,17,34,NA,425,837,97,470,9
1884,UA,MLU,Milwaukee Brewers,NA,2,12,8,4,53,88,395,20,70,0,NA,NA,34,49,13,139,1
1884,NL,NY1,New York Gothams,N,4,116,62,50,693,1053,4124,249,492,22,NA,NA,623,1011,326,567,28
1884,AA,NY4,New York Metropolitans,N,1,112,75,32,734,1052,4012,203,315,22,35,NA,423,802,115,628,15
1884,AA,PH4,Philadelphia Athletics,N,7,108,61,46,700,1057,3959,153,434,26,40,NA,546,920,127,530,16
