player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Alex Abrines,SG,25,OKC,31,2,588,56,157,41,127,15,30,12,13,5,43,20,17,6,14,53
Quincy Acy,PF,28,PHO,10,0,123,4,18,2,15,2,3,7,10,3,22,8,1,4,4,24
Jaylen Adams,PG,22,ATL,34,1,428,38,110,25,74,13,36,7,9,11,49,65,14,5,28,45
Steven Adams,C,25,OKC,80,80,2669,481,809,0,2,481,807,146,292,391,369,124,117,76,135,204
Bam Adebayo,C,21,MIA,82,28,1913,280,486,3,15,277,471,166,226,165,432,184,71,65,121,203
Deng Adel,SF,21,CLE,19,3,194,11,36,6,23,5,13,4,4,3,16,5,1,4,6,13
DeVaughn Akoon-Purcell,SG,25,DEN,7,0,22,3,10,0,4,3,6,1,2,1,3,6,2,0,2,4
LaMarcus Aldridge,C,33,SAS,81,81,2687,684,1319,10,42,674,1277,349,412,251,493,194,43,107,144,179
Rawle Alkins,SG,21,CHI,10,1,120,13,39,3,12,10,27,8,12,11,15,13,1,0,8,7
Grayson Allen,SG,23,UTA,38,2,416,67,178,32,99,35,79,45,60,3,20,25,6,6,33,47
Jarrett Allen,C,20,BRK,80,80,2096,335,568,6,45,329,523,197,278,191,481,110,43,120,103,184
Kadeem Allen,SG,26,NYK,19,1,416,65,141,17,36,48,105,42,54,8,43,76,16,4,26,46
Al-Farouq Aminu,PF,28,POR,81,81,2292,257,593,96,280,161,313,150,173,112,498,104,68,33,72,143
Justin Anderson,SF,25,ATL,48,4,463,64,157,24,77,40,80,26,35,24,60,23,22,13,23,48
Kyle Anderson,SF,25,MEM,43,40,1281,150,276,9,34,141,242,37,64,48,203,128,54,37,58,112
Ryan Anderson,PF,30,TOT,25,8,322,21,69,9,40,12,29,12,16,18,36,19,4,1,14,25
Ryan Anderson,PF,30,PHO,15,8,278,19,60,7,34,12,26,11,14,14,31,17,3,1,12,23
Ryan Anderson,PF,30,MIA,10,0,44,2,9,2,6,0,3,1,2,4,5,2,1,0,2,2
Ike Anigbogu,C,20,IND,3,0,6,0,3,0,0,0,3,0,0,1,2,1,0,1,1,0
Giannis Antetokounmpo,PF,24,MIL,72,72,2358,721,1247,52,203,669,1044,500,686,159,739,424,92,110,268,232
Kostas Antetokounmpo,PF,21,DAL,2,0,11,0,3,0,0,0,3,2,4,0,1,0,2,0,1,0
Carmelo Anthony,PF,34,HOU,10,2,294,49,121,21,64,28,57,15,22,9,45,5,4,7,8,32
OG Anunoby,SF,21,TOR,67,6,1352,183,404,67,202,116,202,36,62,58,139,47,46,22,55,140
Ryan Arcidiacono,PG,24,CHI,81,32,1961,187,418,81,217,106,201,89,102,27,192,269,65,4,63,171
Trevor Ariza,SF,33,TOT,69,69,2349,294,736,145,434,149,302,130,164,50,321,252,91,21,106,130
Trevor Ariza,SF,33,PHO,26,26,884,86,227,50,139,36,88,36,43,16,129,87,38,8,39,44
Trevor Ariza,SF,33,WAS,43,43,1465,208,509,95,295,113,214,94,121,34,192,165,53,13,67,86
D.J. Augustin,PG,31,ORL,81,81,2269,318,677,131,311,187,366,181,209,41,162,426,52,4,128,115
Deandre Ayton,C,20,PHO,71,70,2183,509,870,0,4,509,866,141,189,223,506,125,61,67,126,209
Dwayne Bacon,SG,23,CHO,43,13,759,122,257,38,87,84,170,34,46,8,81,47,12,5,18,72
Marvin Bagley,PF,19,SAC,62,4,1567,356,706,30,96,326,610,181,262,162,309,62,33,59,98,120
Ron Baker,SG,25,TOT,15,0,152,4,20,1,13,3,7,5,6,1,10,15,6,1,5,18
Ron Baker,SG,25,NYK,11,0,107,4,16,1,9,3,7,5,6,1,6,13,5,0,3,16
Ron Baker,SG,25,WAS,4,0,45,0,4,0,4,0,0,0,0,0,4,2,1,1,2,2
Wade Baldwin,PG,22,POR,16,0,94,10,33,2,9,8,24,8,11,2,13,12,1,2,14,11
Lonzo Ball,PG,21,LAL,47,45,1423,185,456,75,228,110,228,20,48,54,197,255,69,19,103,114
Mohamed Bamba,C,20,ORL,47,1,766,117,243,21,70,96,173,37,63,64,169,39,13,64,43,102
J.J. Barea,PG,34,DAL,38,0,752,161,385,38,128,123,257,55,78,13,82,211,22,1,72,50
Harrison Barnes,PF-SF,26,TOT,77,77,2533,431,1027,174,441,257,586,229,278,57,304,115,50,13,98,122
Harrison Barnes,PF,26,DAL,49,49,1584,290,717,121,311,169,406,165,198,36,171,62,33,11,68,79
Harrison Barnes,SF,26,SAC,28,28,949,141,310,53,130,88,180,64,80,21,133,53,17,2,30,43
Will Barton,SG,28,DEN,43,38,1189,185,460,67,196,118,264,57,74,32,167,124,18,22,65,82
Keita Bates-Diop,SF,23,MIN,30,3,503,60,142,13,52,47,90,18,28,16,67,17,18,14,14,29
Nicolas Batum,SF,30,CHO,75,72,2354,253,562,116,298,137,264,77,89,71,319,247,71,43,117,140
Jerryd Bayless,PG,30,MIN,34,6,657,82,230,29,98,53,132,16,28,11,51,119,18,2,32,56
Aron Baynes,C,32,BOS,51,18,821,105,223,21,61,84,162,53,62,88,152,57,12,34,40,125
Kent Bazemore,SG,29,ATL,67,35,1643,278,691,96,300,182,391,127,175,37,224,152,89,42,121,170
Bradley Beal,SG,25,WAS,82,82,3028,764,1609,209,596,555,1013,362,448,89,322,448,121,58,224,226
Malik Beasley,SG,22,DEN,81,18,1879,349,737,163,405,186,332,56,66,35,165,97,55,10,55,116
Michael Beasley,PF,30,LAL,26,2,277,75,153,3,17,72,136,28,39,13,47,25,9,10,27,42
Marco Belinelli,SG,32,SAS,79,1,1815,285,690,147,395,138,295,112,124,16,182,132,35,8,72,121
Jordan Bell,C,24,GSW,68,3,788,99,192,0,2,99,190,25,41,55,129,76,20,51,42,80
DeAndre' Bembry,SG,24,ATL,82,15,1931,275,616,50,173,225,443,87,136,54,304,202,105,41,142,190
Dragan Bender,PF,21,PHO,46,27,826,88,197,22,101,66,96,32,54,34,149,56,18,22,37,90
Dairis Bertans,SG,29,NOP,12,0,167,12,47,10,34,2,13,0,0,2,7,10,1,0,2,7
Davis Bertans,PF,26,SAS,76,12,1632,204,453,145,338,59,115,53,60,23,241,100,35,33,43,133
Patrick Beverley,PG,30,LAC,78,49,2137,194,477,112,282,82,195,96,123,76,312,300,67,43,85,265
Khem Birch,C,26,ORL,50,1,643,91,151,0,1,91,150,58,83,79,111,38,18,29,20,72
Bismack Biyombo,C,26,CHO,54,32,783,89,156,0,0,89,156,58,91,81,166,33,11,41,34,103
Nemanja Bjelica,PF,30,SAC,77,70,1788,284,593,103,257,181,336,70,92,125,319,147,54,56,82,197
Antonio Blakeney,SG,22,CHI,57,3,829,166,396,36,91,130,305,50,76,7,99,42,12,9,35,41
Eric Bledsoe,PG,29,MIL,78,78,2272,470,971,124,377,346,594,177,236,82,280,430,116,29,165,156
Jaron Blossomgame,SF,25,CLE,27,4,439,47,106,10,39,37,67,10,13,26,72,13,7,8,11,20
Bogdan Bogdanovic,SG,26,SAC,70,17,1947,361,863,134,372,227,491,134,162,40,203,267,72,15,117,142
Bojan Bogdanovic,SF,29,IND,81,81,2573,522,1051,164,386,358,665,246,305,33,300,161,69,1,134,138
Andrew Bogut,C,34,GSW,11,5,134,18,36,0,0,18,36,3,3,12,43,11,3,8,8,22
Jonah Bolden,PF,23,PHI,44,10,639,80,162,34,96,46,66,13,27,47,118,40,17,39,36,99
Isaac Bonga,PG,19,LAL,22,0,120,5,33,0,8,5,25,9,15,9,16,15,9,4,6,9
Devin Booker,SG,22,PHO,64,64,2242,586,1255,135,414,451,841,393,454,39,226,433,56,13,264,200
Chris Boucher,PF,26,TOR,28,0,163,34,76,12,37,22,39,13,15,16,40,2,6,24,7,31
Avery Bradley,SG,28,TOT,63,63,1905,248,608,86,245,162,363,43,50,43,132,152,41,16,89,167
Avery Bradley,SG,28,LAC,49,49,1463,161,420,58,172,103,248,20,25,35,96,96,27,16,61,133
Avery Bradley,SG,28,MEM,14,14,442,87,188,28,73,59,115,23,25,8,36,56,14,0,28,34
Tony Bradley,C,21,UTA,3,0,36,8,16,0,0,8,16,1,2,9,6,1,2,2,3,6
Corey Brewer,SF,32,TOT,31,3,492,53,123,14,44,39,79,31,43,26,50,39,32,7,19,63
Corey Brewer,SF,32,PHI,7,3,140,20,49,4,14,16,35,9,13,4,13,10,12,2,8,16
Corey Brewer,SF,32,SAC,24,0,352,33,74,10,30,23,44,22,30,22,37,29,20,5,11,47
Mikal Bridges,SF,22,PHO,82,56,2417,242,563,105,313,137,250,95,118,56,208,173,129,38,70,201
Miles Bridges,SF,20,CHO,80,25,1696,237,511,65,200,172,311,58,77,67,256,95,55,49,50,111
Isaiah Briscoe,PG,22,ORL,39,0,559,55,138,11,34,44,104,15,26,5,69,87,11,2,31,66
Ryan Broekhoff,SG,28,DAL,42,0,453,57,126,38,93,19,33,15,19,8,55,22,6,4,16,35
Malcolm Brogdon,SG,26,MIL,64,64,1832,378,748,104,244,274,504,141,152,65,223,205,46,13,91,102
Dillon Brooks,SF,23,MEM,18,0,330,49,122,15,40,34,82,22,30,9,22,16,10,4,19,50
MarShon Brooks,SG,30,MEM,29,0,387,76,169,15,54,61,115,23,33,12,33,25,9,4,21,33
Bruce Brown,SG,22,DET,74,56,1449,125,314,24,93,101,221,45,60,48,137,91,40,36,46,178
Jaylen Brown,SG,22,BOS,74,25,1913,368,792,95,276,273,516,133,202,65,248,100,69,32,99,186
Lorenzo Brown,PG,28,TOR,26,0,212,23,71,6,28,17,43,3,3,5,26,28,12,5,16,22
Sterling Brown,SG,23,MIL,58,7,1034,145,312,53,147,92,165,29,42,29,155,84,25,8,46,88
Troy Brown,SF,19,WAS,52,10,730,97,234,22,69,75,165,32,47,35,110,80,21,5,30,56
Jalen Brunson,PG,22,DAL,73,38,1591,264,565,63,181,201,384,87,120,25,144,230,37,4,88,127
Thomas Bryant,C,21,WAS,72,53,1496,309,502,33,99,276,403,107,137,113,341,92,25,67,60,126
Reggie Bullock,SG,27,TOT,63,60,1879,245,594,148,393,97,201,73,85,22,151,129,40,12,65,109
Reggie Bullock,SG,27,DET,44,44,1355,182,441,114,294,68,147,56,64,20,103,109,24,5,54,79
Reggie Bullock,SG,27,LAL,19,16,524,63,153,34,99,29,54,17,21,2,48,20,16,7,11,30
Trey Burke,PG,26,TOT,58,8,1125,236,548,56,159,180,389,103,124,28,71,159,33,7,49,58
Trey Burke,PG,26,NYK,33,7,689,148,358,30,86,118,272,62,75,15,47,94,21,5,29,33
Trey Burke,PG,26,DAL,25,1,436,88,190,26,73,62,117,41,49,13,24,65,12,2,20,25
Alec Burks,SG,27,TOT,64,24,1375,192,474,61,168,131,306,116,141,30,205,128,39,21,65,91
Alec Burks,SG,27,UTA,17,0,269,47,114,16,43,31,71,33,38,2,25,20,6,4,15,22
Alec Burks,SG,27,CLE,34,24,979,136,340,45,119,91,221,79,98,26,160,98,25,16,46,62
Alec Burks,SG,27,SAC,13,0,127,9,20,0,6,9,14,4,5,2,20,10,8,1,4,7
Deonte Burton,SG,25,OKC,32,0,240,33,82,8,27,25,55,8,12,4,24,9,6,8,9,31
Jimmy Butler,SF-SG,29,TOT,65,65,2185,418,904,67,193,351,711,312,365,121,221,263,123,39,95,111
Jimmy Butler,SG,29,MIN,10,10,361,74,157,17,45,57,112,48,61,16,36,43,24,10,14,18
Jimmy Butler,SF,29,PHI,55,55,1824,344,747,50,148,294,599,264,304,105,185,220,99,29,81,93
Bruno Caboclo,SF,23,MEM,34,19,800,96,225,48,130,48,95,42,50,42,116,50,14,33,38,81
Jose Calderon,PG,37,DET,49,0,632,45,120,14,57,31,63,9,11,11,49,115,16,3,35,64
Kentavious Caldwell-Pope,SG,25,LAL,82,23,2035,325,756,151,435,174,321,137,158,48,190,110,73,13,65,137
Isaiah Canaan,PG,27,TOT,30,16,629,64,164,34,96,30,68,19,24,6,52,84,14,2,35,52
Isaiah Canaan,PG,27,PHO,19,15,503,51,129,25,72,26,57,15,20,5,44,62,12,0,29,46
Isaiah Canaan,PG,27,MIN,7,1,95,11,29,7,19,4,10,4,4,0,5,19,2,1,4,4
Isaiah Canaan,PG,27,MIL,4,0,31,2,6,2,5,0,1,0,0,1,3,3,0,1,2,2
Clint Capela,C,24,HOU,67,67,2249,474,732,0,0,474,732,166,261,298,550,96,44,102,94,168
DeMarre Carroll,PF,32,BRK,67,8,1703,227,575,106,310,121,265,184,242,68,281,85,31,10,73,114
Jevon Carter,PG,23,MEM,39,3,577,56,185,34,102,22,83,26,32,14,52,69,26,11,33,55
Vince Carter,SF,42,ATL,76,9,1330,196,468,123,316,73,152,47,66,31,163,87,44,27,48,141
Wendell Carter,C,19,CHI,44,44,1110,180,371,6,32,174,339,89,112,87,220,78,26,58,65,152
Michael Carter-Williams,PG,27,TOT,28,1,372,46,123,10,38,36,85,32,53,19,51,70,20,15,20,48
Michael Carter-Williams,PG,27,HOU,16,1,145,25,61,7,19,18,42,12,26,3,10,21,9,6,10,27
Michael Carter-Williams,PG,27,ORL,12,0,227,21,62,3,19,18,43,20,27,16,41,49,11,9,10,21
Alex Caruso,PG,24,LAL,25,4,531,77,173,24,50,53,123,51,64,20,47,77,24,9,42,54
Omri Casspi,SF,30,MEM,36,0,520,86,161,15,43,71,118,39,58,17,98,26,20,9,23,35
Willie Cauley-Stein,C,25,SAC,81,81,2213,412,741,1,2,411,739,140,254,181,497,194,96,51,84,227
Troy Caupain,PG,23,ORL,4,0,16,4,8,2,3,2,5,0,0,1,2,4,1,0,0,0
Tyler Cavanaugh,PF,24,UTA,11,0,39,3,10,1,5,2,5,2,2,3,5,1,0,0,1,3
Tyson Chandler,C,36,TOT,55,6,875,61,99,0,1,61,98,51,87,92,215,37,21,23,42,110
Tyson Chandler,C,36,PHO,7,0,89,8,12,0,0,8,12,10,18,7,32,6,2,1,7,21
Tyson Chandler,C,36,LAL,48,6,786,53,87,0,1,53,86,41,69,85,183,31,19,22,35,89
Wilson Chandler,PF-SF,31,TOT,51,33,1177,114,273,59,158,55,115,18,25,48,167,82,25,21,46,123
Wilson Chandler,PF,31,PHI,36,32,951,91,207,46,118,45,89,13,18,44,124,72,22,18,39,94
Wilson Chandler,SF,31,LAC,15,1,226,23,66,13,40,10,26,5,7,4,43,10,3,3,7,29
Joe Chealey,PG,23,CHO,1,0,8,1,3,0,0,1,3,0,0,0,0,1,0,0,0,1
Chris Chiozza,PG,23,HOU,7,0,33,2,8,2,5,0,3,0,0,1,3,4,1,1,1,2
Marquese Chriss,PF,21,TOT,43,2,499,67,180,16,72,51,108,32,45,40,102,22,17,11,36,81
Marquese Chriss,PF,21,HOU,16,0,104,11,34,1,15,10,19,6,7,7,21,6,2,4,12,17
Marquese Chriss,PF,21,CLE,27,2,395,56,146,15,57,41,89,26,38,33,81,16,15,7,24,64
Gary Clark,PF,24,HOU,51,2,641,50,151,41,138,9,13,7,7,24,92,18,20,26,7,47
Ian Clark,SG,27,NOP,60,6,973,151,383,66,202,85,181,33,37,13,76,94,22,8,58,95
Jordan Clarkson,SG,26,CLE,81,0,2214,529,1180,144,445,385,735,162,192,82,188,196,57,13,135,112
John Collins,PF,21,ATL,61,59,1829,465,831,55,158,410,673,203,266,219,376,121,22,39,120,199
Zach Collins,C,21,POR,77,0,1356,189,400,40,121,149,279,94,126,109,215,71,25,66,77,174
Darren Collison,PG,31,IND,76,76,2143,308,659,79,194,229,465,158,190,36,196,459,110,9,125,138
Bonzie Colson,SF,23,MIL,8,2,98,13,39,5,21,8,18,8,9,8,22,3,5,1,3,3
Mike Conley,PG,31,MEM,70,70,2342,490,1120,155,426,335,694,343,406,40,199,449,94,22,130,123
Pat Connaughton,SG,26,MIL,61,2,1261,163,350,66,200,97,150,29,40,61,197,122,33,25,33,81
Quinn Cook,PG,25,GSW,74,10,1059,204,439,81,200,123,239,20,26,22,135,116,20,3,50,92
DeMarcus Cousins,C,28,GSW,30,30,771,178,371,26,95,152,276,106,144,43,204,107,40,44,72,109
Robert Covington,SF,28,TOT,35,35,1203,156,362,85,225,71,137,68,89,28,165,46,74,47,47,126
Robert Covington,SF,28,PHI,13,13,440,50,117,30,77,20,40,17,23,7,60,14,24,23,22,45
Robert Covington,SF,28,MIN,22,22,763,106,245,55,148,51,97,51,66,21,105,32,50,24,25,81
Allen Crabbe,SG,26,BRK,43,20,1133,137,373,98,259,39,114,41,56,16,132,46,23,13,46,102
Torrey Craig,SF,28,DEN,75,37,1503,160,362,61,188,99,174,49,70,89,174,72,37,46,44,175
Jamal Crawford,SG,38,PHO,64,0,1211,174,438,67,202,107,236,93,110,8,77,229,33,12,99,75
Mitch Creek,SF,26,TOT,5,0,48,8,16,0,2,8,14,5,7,6,6,6,2,0,1,3
Mitch Creek,SF,26,BRK,4,0,36,5,10,0,1,5,9,5,7,5,5,5,1,0,0,3
Mitch Creek,SF,26,MIN,1,0,12,3,6,0,1,3,5,0,0,1,1,1,1,0,1,0
Jae Crowder,SF,28,UTA,80,11,2166,318,797,173,522,145,275,142,197,60,324,133,64,31,85,170
Dante Cunningham,PF,31,SAS,64,21,928,75,158,30,65,45,93,14,18,48,140,50,27,13,22,71
Seth Curry,SG,28,POR,74,2,1399,212,465,113,251,99,214,44,52,27,93,66,36,12,61,97
Stephen Curry,PG,30,GSW,69,69,2331,632,1340,354,810,278,530,263,287,45,324,361,92,25,192,166
Troy Daniels,SG,27,PHO,51,1,760,113,275,74,194,39,81,18,23,13,60,26,26,5,27,79
Anthony Davis,C,25,NOP,56,56,1850,530,1026,48,145,482,881,344,433,174,498,218,88,135,112,132
Deyonta Davis,C,22,ATL,9,0,118,15,22,0,1,15,21,6,10,10,26,5,3,5,3,12
Ed Davis,C,29,BRK,81,1,1446,186,302,0,2,186,300,100,162,216,478,61,35,33,64,226
Tyler Davis,C,21,OKC,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Dewayne Dedmon,C,29,ATL,64,52,1609,259,526,83,217,176,309,92,113,105,375,90,69,71,84,214
Sam Dekker,PF,24,TOT,47,5,788,120,256,19,62,101,194,28,46,53,95,46,38,7,24,47
Sam Dekker,PF,24,CLE,9,5,169,22,48,5,13,17,35,8,10,9,24,9,11,0,5,13
Sam Dekker,PF,24,WAS,38,0,619,98,208,14,49,84,159,20,36,44,71,37,27,7,19,34
Angel Delgado,C,24,LAC,2,0,15,1,5,0,0,1,5,1,2,2,2,0,1,0,0,2
Matthew Dellavedova,PG,28,TOT,48,0,812,98,242,44,130,54,112,42,52,6,71,181,14,2,68,75
Matthew Dellavedova,PG,28,MIL,12,0,97,6,19,4,11,2,8,4,4,0,10,29,2,0,11,9
Matthew Dellavedova,PG,28,CLE,36,0,715,92,223,40,119,52,104,38,48,6,61,152,12,2,57,66
Luol Deng,SF,33,MIN,22,2,392,59,118,14,44,45,74,25,35,20,53,18,15,8,14,24
DeMar DeRozan,SG,29,SAS,77,77,2688,631,1313,7,45,624,1268,366,441,54,408,475,86,36,199,177
Marcus Derrickson,PF,22,GSW,11,0,67,16,33,10,20,6,13,4,5,8,5,1,0,1,3,9
Cheick Diallo,PF,22,NOP,64,1,896,168,271,1,4,167,267,50,67,75,257,33,29,33,49,113
Hamidou Diallo,SG,20,OKC,51,3,526,75,165,4,24,71,141,36,59,38,59,17,21,10,23,77
Gorgui Dieng,C,29,MIN,76,2,1031,189,377,19,56,170,321,88,106,81,230,72,48,41,57,134
Spencer Dinwiddie,PG,25,BRK,68,4,1914,366,828,124,370,242,458,287,356,26,140,311,40,17,152,187
Donte DiVincenzo,SG,22,MIL,27,0,411,50,124,22,83,28,41,9,12,16,49,31,13,6,19,38
Luka Doncic,SG,19,DAL,72,72,2318,506,1186,168,514,338,672,346,485,86,477,429,77,25,247,137
Tyler Dorsey,SG,22,TOT,48,11,698,107,264,44,132,63,132,38,61,27,86,56,14,2,27,53
Tyler Dorsey,SG,22,ATL,27,0,251,32,89,10,39,22,50,16,26,9,34,17,7,1,10,20
Tyler Dorsey,SG,22,MEM,21,11,447,75,175,34,93,41,82,22,35,18,52,39,7,1,17,33
Damyean Dotson,SG,24,NYK,73,40,2004,290,698,126,342,164,356,73,98,34,228,135,58,10,71,135
PJ Dozier,SG,22,BOS,6,0,51,8,21,2,8,6,13,1,2,6,11,5,2,0,0,2
Goran Dragic,PG,32,MIA,36,22,991,179,433,57,164,122,269,79,101,20,91,174,30,5,71,81
Andre Drummond,C,25,DET,79,79,2647,561,1052,5,38,556,1014,243,412,423,809,112,136,138,175,272
Jared Dudley,PF,33,BRK,59,25,1220,101,239,53,151,48,88,32,46,34,121,83,36,16,43,131
Kris Dunn,PG,24,CHI,46,44,1389,215,506,34,96,181,410,55,69,19,168,277,68,21,104,166
Kevin Durant,PF,30,GSW,78,78,2702,721,1383,137,388,584,995,448,506,33,464,457,58,84,225,155
Trevon Duval,PG,20,MIL,3,0,6,2,3,1,1,1,2,0,0,0,1,2,0,0,0,0
Vince Edwards,SF,22,HOU,2,0,16,1,4,1,4,0,0,0,0,1,1,0,0,0,0,0
Henry Ellenson,PF,22,TOT,19,0,259,39,95,17,38,22,57,19,25,5,61,16,7,2,9,27
Henry Ellenson,PF,22,DET,2,0,25,4,10,2,4,2,6,2,2,0,9,1,0,0,0,2
Henry Ellenson,PF,22,NYK,17,0,234,35,85,15,34,20,51,17,23,5,52,15,7,2,9,25
Wayne Ellington,SG,31,TOT,53,38,1297,184,457,138,372,46,85,39,49,14,93,72,54,6,40,92
Wayne Ellington,SG,31,MIA,25,12,533,69,184,57,155,12,29,14,16,6,41,29,24,3,14,40
Wayne Ellington,SG,31,DET,28,26,764,115,273,81,217,34,56,25,33,8,52,43,30,3,26,52
Joel Embiid,C,24,PHI,64,64,2154,580,1199,79,263,501,936,522,649,160,711,234,46,122,226,211
James Ennis,SF,28,TOT,58,27,1230,138,294,55,156,83,138,58,81,60,122,41,41,23,34,150
James Ennis,SF,28,HOU,40,25,949,104,211,44,120,60,91,42,58,37,80,27,38,16,23,111
James Ennis,SF,28,PHI,18,2,281,34,83,11,36,23,47,16,23,23,42,14,3,7,11,39
Drew Eubanks,PF,21,SAS,23,0,113,15,26,0,0,15,26,11,13,6,28,7,2,5,8,11
Jacob Evans,SG,21,GSW,30,1,204,18,53,4,15,14,38,0,1,6,19,23,5,3,11,28
Jawun Evans,PG,22,TOT,8,0,65,3,14,0,3,3,11,0,0,1,11,10,3,0,6,8
Jawun Evans,PG,22,PHO,7,0,64,3,13,0,2,3,11,0,0,1,11,10,3,0,6,8
Jawun Evans,PG,22,OKC,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Tyreke Evans,SG,29,IND,69,18,1402,257,660,77,216,180,444,115,160,33,168,166,58,18,118,117
Dante Exum,PG,23,UTA,42,1,664,101,241,18,62,83,179,68,86,16,52,110,14,5,52,69
Kenneth Faried,C,29,TOT,37,13,728,156,265,8,25,148,240,64,99,97,153,20,17,23,33,82
Kenneth Faried,C,29,BRK,12,0,118,25,42,1,5,24,37,10,16,15,29,2,2,4,6,8
Kenneth Faried,C,29,HOU,25,13,610,131,223,7,20,124,203,54,83,82,124,18,15,19,27,74
Derrick Favors,C,27,UTA,76,70,1766,363,619,17,78,346,541,154,228,207,353,89,56,106,84,163
Cristiano Felicio,C,26,CHI,60,0,746,95,179,0,4,95,175,50,73,79,139,37,11,7,33,69
Raymond Felton,PG,34,OKC,33,0,379,55,135,20,61,35,74,12,13,4,30,52,10,6,14,29
Terrance Ferguson,SG,20,OKC,74,74,1931,185,431,106,290,79,141,37,51,33,108,72,40,16,47,231
Yogi Ferrell,PG,25,SAC,71,3,1067,153,352,54,149,99,203,60,67,13,96,137,36,4,40,64
Dorian Finney-Smith,SF,25,DAL,81,26,1985,228,528,79,254,149,274,73,103,138,251,95,69,36,74,186
Bryn Forbes,SG,25,SAS,82,81,2293,361,791,176,413,185,378,69,78,18,221,175,45,4,80,159
Evan Fournier,SG,26,ORL,81,81,2553,468,1069,153,450,315,619,137,170,38,220,295,71,12,154,225
De'Aaron Fox,PG,21,SAC,81,81,2546,505,1102,86,232,419,870,303,417,43,261,590,133,45,227,204
Melvin Frazier,SG,22,ORL,10,0,44,7,21,0,6,7,15,1,4,3,2,1,1,0,1,6
Tim Frazier,PG,28,TOT,59,19,1120,116,261,37,101,79,160,41,54,41,127,248,30,5,76,112
Tim Frazier,PG,28,NOP,47,17,909,88,195,27,77,61,118,32,41,32,105,206,25,4,60,93
Tim Frazier,PG,28,MIL,12,2,211,28,66,10,24,18,42,9,13,9,22,42,5,1,16,19
Jimmer Fredette,SG,29,PHO,6,0,65,8,29,0,13,8,16,6,6,1,6,8,3,0,5,5
Channing Frye,C,35,CLE,36,6,341,43,117,32,79,11,38,11,14,4,48,20,6,5,13,44
Markelle Fultz,SG,20,PHI,19,15,427,65,155,4,14,61,141,21,37,26,44,59,17,5,25,52
Danilo Gallinari,SF,30,LAC,68,68,2059,409,884,161,372,248,512,367,406,54,363,178,49,23,99,129
Langston Galloway,SG,27,DET,80,4,1745,228,587,135,380,93,207,81,96,49,122,85,37,8,24,135
Billy Garrett,SG,24,NYK,4,0,63,11,27,0,8,11,19,4,4,0,3,7,1,1,2,3
Marc Gasol,C,34,TOT,79,72,2436,390,870,99,273,291,597,192,253,80,547,349,84,86,155,217
Marc Gasol,C,34,MEM,53,53,1788,303,683,76,221,227,462,152,201,56,399,248,60,63,119,147
Marc Gasol,C,34,TOR,26,19,648,87,187,23,52,64,135,40,52,24,148,101,24,23,36,70
Pau Gasol,C,38,TOT,30,6,360,42,94,6,13,36,81,28,40,22,115,52,5,15,16,29
Pau Gasol,C,38,SAS,27,6,330,41,88,5,10,36,78,27,38,22,105,50,5,14,14,28
Pau Gasol,C,38,MIL,3,0,30,1,6,1,3,0,3,1,2,0,10,2,0,1,2,1
Rudy Gay,PF,32,SAS,69,51,1842,376,746,74,184,302,562,120,147,63,407,182,54,34,114,159
Paul George,SF,28,OKC,77,77,2841,707,1614,292,757,415,857,453,540,105,523,318,170,34,205,214
Taj Gibson,PF,33,MIN,70,57,1686,304,537,11,34,293,503,134,177,172,286,84,53,39,73,186
Harry Giles,PF,20,SAC,58,0,820,175,348,0,6,175,342,58,91,66,156,85,31,22,73,150
Shai Gilgeous-Alexander,PG,20,LAC,82,73,2174,341,716,51,139,290,577,156,195,57,175,270,96,45,141,175
Rudy Gobert,C,26,UTA,81,80,2577,476,712,0,0,476,712,332,522,309,732,161,66,187,130,231
Brandon Goodwin,PG,23,DEN,16,0,57,6,23,2,6,4,17,9,11,1,2,14,0,0,3,7
Aaron Gordon,PF,23,ORL,78,78,2633,470,1046,121,347,349,699,185,253,129,445,289,57,56,162,172
Eric Gordon,SG,30,HOU,68,53,2158,384,938,216,600,168,338,119,152,17,131,129,41,27,90,143
Marcin Gortat,C,34,LAC,47,43,751,99,186,0,0,99,186,35,48,67,194,65,6,24,50,92
Devonte' Graham,PG,23,CHO,46,3,676,74,216,34,121,40,95,35,46,10,53,121,23,2,30,48
Treveon Graham,SG,25,BRK,35,21,715,64,191,38,128,26,63,18,22,23,84,34,13,7,17,68
Jerami Grant,PF,24,OKC,80,77,2612,409,823,115,293,294,530,157,221,96,321,79,61,100,67,214
Jerian Grant,PG,26,ORL,60,1,939,92,220,40,110,52,110,26,40,19,79,156,44,6,51,78
Donte Grantham,SF,23,OKC,3,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Danny Green,SG,31,TOR,80,80,2216,293,630,198,435,95,195,37,44,60,257,126,73,53,75,171
Draymond Green,PF,28,GSW,66,66,2065,188,422,47,165,141,257,63,91,60,421,454,95,70,169,197
