player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Josh Okogie,SG,20,MIN,74,52,1757,196,508,60,215,136,293,118,162,41,177,91,88,33,63,166
Victor Oladipo,SG,26,IND,36,36,1147,249,588,74,216,175,372,103,141,21,181,186,60,11,82,72
Kelly Olynyk,PF,27,MIA,79,36,1812,261,564,113,319,148,245,152,185,72,303,140,53,37,114,183
Cedi Osman,SF,23,CLE,76,75,2444,360,844,130,374,230,470,141,181,45,312,195,60,11,114,195
Kelly Oubre,SF,23,TOT,69,19,1935,375,842,108,338,267,504,189,244,71,254,84,84,59,103,181
Kelly Oubre,SF,23,WAS,29,7,755,132,305,41,132,91,173,68,85,24,105,20,27,20,30,71
Kelly Oubre,SF,23,PHO,40,12,1180,243,537,67,206,176,331,121,159,47,149,64,57,39,73,110
Zaza Pachulia,C,34,DET,68,3,878,85,193,0,4,85,189,97,124,99,166,91,31,17,57,151
Jabari Parker,PF,23,TOT,64,17,1724,369,749,61,195,308,554,131,184,79,342,152,46,30,151,145
Jabari Parker,PF,23,CHI,39,17,1042,220,464,37,114,183,350,79,108,41,200,84,23,14,84,87
Jabari Parker,PF,23,WAS,25,0,682,149,285,24,81,125,204,52,76,38,142,68,23,16,67,58
Tony Parker,PG,36,CHO,56,0,1003,213,463,13,51,200,412,91,124,14,69,207,21,7,75,53
Chandler Parsons,SF,30,MEM,25,3,496,68,182,29,94,39,88,22,25,4,66,43,19,5,32,45
Patrick Patterson,PF,29,OKC,63,5,861,82,219,46,137,36,82,19,30,42,105,31,16,13,22,46
Justin Patton,C,21,PHI,3,0,21,2,7,0,2,2,5,1,2,2,4,3,2,0,0,5
Chris Paul,PG,33,HOU,58,58,1857,302,720,127,355,175,365,175,203,36,229,473,114,18,152,146
Cameron Payne,PG,24,TOT,40,13,712,96,223,25,84,71,139,33,41,13,59,106,28,9,45,64
Cameron Payne,PG,24,CHI,31,12,536,69,168,16,59,53,109,22,25,10,43,83,20,6,34,49
Cameron Payne,PG,24,CLE,9,1,176,27,55,9,25,18,30,11,16,3,16,23,8,3,11,15
Elfrid Payton,PG,24,NOP,42,42,1250,179,412,33,105,146,307,55,74,49,171,320,44,17,112,81
Gary Payton,PG,26,WAS,3,0,16,5,8,1,2,4,6,0,0,1,1,4,3,1,1,2
Theo Pinson,SG,23,BRK,18,0,211,25,73,12,46,13,27,19,22,4,32,21,6,0,18,15
Mason Plumlee,C,28,DEN,82,17,1731,262,442,2,10,260,432,111,198,165,359,243,66,76,126,252
Miles Plumlee,C,30,ATL,18,0,173,32,48,0,0,32,48,16,30,16,23,17,6,4,10,14
Jakob Poeltl,C,23,SAS,77,24,1273,187,290,0,0,187,290,49,92,178,232,93,29,68,48,124
Quincy Pondexter,SF,30,SAS,53,0,292,29,58,6,18,23,40,34,42,8,38,24,11,1,13,24
Otto Porter,SF,25,TOT,56,43,1683,299,643,104,256,195,387,78,96,54,260,120,82,31,65,108
Otto Porter,SF,25,WAS,41,28,1191,202,442,65,176,137,266,49,64,40,191,80,64,22,40,79
Otto Porter,SF,25,CHI,15,15,492,97,201,39,80,58,121,29,32,14,69,40,18,9,25,29
Bobby Portis,PF,23,TOT,50,28,1299,279,628,75,191,204,437,77,97,109,294,72,35,20,74,145
Bobby Portis,PF,23,CHI,22,6,531,122,271,27,72,95,199,39,50,46,115,29,11,8,29,61
Bobby Portis,PF,23,WAS,28,22,768,157,357,48,119,109,238,38,47,63,179,43,24,12,45,84
Dwight Powell,C,27,DAL,77,22,1662,290,486,39,127,251,359,196,254,140,271,112,44,50,67,201
Norman Powell,SG,25,TOR,60,3,1126,193,400,68,170,125,230,62,75,16,123,91,39,13,65,96
Alex Poythress,PF,25,ATL,21,1,305,40,81,9,23,31,58,18,29,29,47,17,4,10,13,47
Zhou Qi,PF,23,HOU,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Ivan Rabb,PF,21,MEM,49,13,721,116,212,3,15,113,197,49,69,70,136,54,17,14,35,90
Chasson Randle,PG,25,WAS,49,2,743,91,217,46,115,45,102,43,62,10,46,97,25,3,43,91
Julius Randle,PF,24,NOP,73,49,2232,571,1089,67,195,504,894,356,487,162,472,229,52,45,208,246
J.J. Redick,SG,34,PHI,76,63,2379,452,1027,240,605,212,422,228,255,20,166,206,32,17,101,129
Davon Reed,SG,23,IND,10,0,47,5,12,2,4,3,8,0,0,2,4,3,1,0,1,3
Cameron Reynolds,SG,23,MIN,19,0,259,33,78,21,51,12,27,8,9,4,27,13,6,2,5,26
Josh Richardson,SG,25,MIA,73,73,2539,423,1026,164,460,259,566,199,231,54,209,298,79,34,113,200
Malachi Richardson,SG,23,TOR,22,0,103,9,29,8,25,1,4,4,5,2,11,0,1,0,8,13
Austin Rivers,SG,26,TOT,76,15,2028,232,572,104,327,128,245,50,95,25,137,167,47,23,68,207
Austin Rivers,SG,26,WAS,29,2,683,76,194,33,106,43,88,25,46,10,61,58,18,10,36,72
Austin Rivers,SG,26,HOU,47,13,1345,156,378,71,221,85,157,25,49,15,76,109,29,13,32,135
Devin Robinson,SF,23,WAS,7,0,95,19,32,0,2,19,30,9,14,6,14,6,4,6,2,11
